original_inventory_sector,emissions_quantity_2023_release,emissions_quantity_2022_release,difference,percent_difference,year
forest-land-fires,8560112876,12695861313,-4135748437,-32.57556408,2015
forest-land-clearing,5890090605,7094617192,-1204526587,-16.97803496,2015
shrubgrass-fires,1464689324,2284821251,-820131927,-35.894796,2015
electricity-generation,11893001000,12386725000,-493724000,-3.985912338,2015
other-manufacturing,3702338989,4030749546,-328410557.1,-8.147629947,2015
steel,2050109252,2339712603,-289603351,-12.3777318,2015
residential-and-commercial-onsite-fuel-usage,3231324457,3476613534,-245289076.5,-7.055402452,2015
solid-fuel-transformation,584509137.7,827760983.4,-243251845.7,-29.38672522,2015
forest-land-degradation,465078980.1,682452882.3,-217373902.2,-31.85185495,2015
rice-cultivation,697631398,890556536.7,-192925138.7,-21.66343525,2015
shipping,450932400.6,613511646.5,-162579245.9,-26.49978151,2015
oil-and-gas-refining,980455746.7,1131800769,-151345022,-13.37205506,2015
coal-mining,1182830232,1270996345,-88166113.28,-6.936771583,2015
other-transport,164591711.1,194249770.4,-29658059.31,-15.26800225,2015
pulp-and-paper,73876876,98025428.92,-24148552.92,-24.63498827,2015
wetland-fires,48528333.03,58555885.91,-10027552.88,-17.1247565,2015
rock-quarrying,1102373,9461253,-8358880,-88.34855172,2015
incineration-and-open-burning-of-waste,53094191.61,60038952.04,-6944760.423,-11.56709134,2015
road-transportation,5882938081,5889676811,-6738730.655,-0.1144159666,2015
other-onsite-fuel-usage,236284227.8,240745421.4,-4461193.57,-1.853075147,2015
sand-quarrying,654463,2750027,-2095564,-76.20157911,2015
international-aviation,520584885.2,521182198.7,-597313.5385,-0.1146074329,2015
net-shrubgrass,0,-1526.016701,1526.016701,-100,2015
net-wetland,0,-6395.860215,6395.860215,-100,2015
fluorinated-gases,997041736.7,997011410.1,30326.59245,0.003041749788,2015
railways,100281789.3,100112615.4,169173.8934,0.1689835919,2015
wastewater-treatment-and-discharge,1280549641,1280094729,454912.0673,0.03553737524,2015
net-forest-land,0,-600141.1135,600141.1135,-100,2015
domestic-aviation,279428886.2,278540280,888606.203,0.3190225137,2015
cement,2441244910,2436829830,4415080,0.1811813014,2015
bauxite-mining,11145431,1536112,9609319,625.5610919,2015
biological-treatment-of-solid-waste-and-biogenic,22001364.88,12296712.68,9704652.197,78.92070383,2015
enteric-fermentation,2756146960,2736989623,19157336.84,0.6999418881,2015
chemicals,566608504,523463596,43144908,8.242198374,2015
copper-mining,74468539,20603727,53864812,261.4323709,2015
iron-mining,95808899,17194712,78614187,457.1997891,2015
other-fossil-fuel-operations,733788996.1,648919662.2,84869333.84,13.07855791,2015
water-reservoirs,93853966.66,0,93853966.66,100,2015
aluminum,326214314,158033960,168180354,106.4203884,2015
petrochemicals,231314444.1,0,231314444.1,100,2015
