Sector,Sub-sector,Emissions source definition,Data available through:,source_id,source_name,source_type,iso3_country,original_inventory_sector,start_time,end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,activity,activity_units,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,capacity_factor_units,other1,other1_def,other2,other2_def,other3,other3_def,other4,other4_def,other5,other5_def,other6,other6_def,other7,other7_def,other8,other8_def,other9,other9_def,other10,other10_def,created_date,modified_date
power,electricity-generation,Power plant,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Fuel type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Electricity generation,MWh,Ratio between quantity of <gas> emitted and electricity produced,T of <gas> per MWh,Maximum installed Power plant capacity,MW,Power plant capacity factor,%,Data not available,N/A,Biomass emissions,T of CO2,Biomass capacity,MW,Biomass generation,MWh,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
manufacturing,steel,Steel plant,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Steel manufacturing method.,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Ratio between quantity of <gas> emitted and steel produced,T of <gas> per T of steel (direct only),Steel plant capacity per year,T of steel,Steel plant capacity factor,%,Direct and Indirect emissions factor: includes electricity use,T of <gas> per T of steel,Direct and Indirect emissions: includes electricity use,T of CO2,Total electricity consumption,MWh,Average electricity emissions factor,T of CO2 per T of Steel,Average electricity consumption factor,MWh per T of Steel,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
manufacturing,cement,Cement plant,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Cement manufacturing method,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Ratio between quantity of <gas> emitted and cement produced,T of <gas> per T of cement (direct only),Cement plant capacity per year,T of cement,Cement plant capacity factor,%,"Direct and Indirect emissions factor: calcination, fuel use and electricity use",T of <gas> per T of Clinker,"Direct and Indirect emissions: calcination, fuel use and electricity use",T of CO2,Calcination emissions factor,T of CO2 per T Clinker,Calcination emissions,T of CO2,Fuel emissions factor,T of CO2 per T of Clinker,Fuel emissions,T of CO2,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
manufacturing,aluminum,Aluminum plant ,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Aluminum manufacturing method,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Ratio between quantity of <gas> emitted and aluminum produced,T of <gas> per T of aluminum (direct only),Smelting capacity per year,T of aluminum,Aluminum capacity factor,%,"Total emissions factor including: anode consumption emissions, electrolysis electricity emissions, anode production emissions, Cpc production emissions, alumina refining emissions",T of <gas> per T of Aluminum,Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),T of CO2,Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),T of  CO2 per T of Aluminum,"Total emissions excluding electricity: Anode consumption emissions, anode production emissions, CPC production emissions and Alumina refining emissions",T of CO2,Total electricity consumption,MWh,Average electricity emissions factor,T of CO2 per T of Alumiunum,Average electricity consumption factor,MWh per T of Aluminum,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
manufacturing,pulp-and-paper,Pulp and paper plant,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Pulp and paper manufacturing method,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Ratio between quantity of <gas> emitted and pulp and paper produced,T of <gas> per T of Pulp & Paper (direct only),Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
manufacturing,chemicals,Chemicals plant,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Chemical type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Chemical production,T of chemical,Ratio between quantity of <gas> emitted and chemical produced,T of <gas> per T of chemical (direct only),Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
transportation,domestic-shipping-ship,Ship,Per request,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Vessel type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Distance traveled,nautical miles (NM),Ratio between quantity of <gas> emitted and distance traveled,kg of <gas> per NM traveled,Vessel dead weight,T,Data not available,N/A,Time granularity,days,Departure port name,N/A,Arrival port name,N/A,Airplane departure country iso3 code,N/A,Airplane arrival country iso3 code,N/A,Data not available,N/A,Arrival port id,N/A,Defines classification of voyage: trip happned(true) and trip classified as port stay(false),true or false,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
transportation,international-shipping-ship,Ship,Per request,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Vessel type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Distance traveled,nautical miles (NM),Ratio between quantity of <gas> emitted and distance traveled,kg of <gas> per NM traveled,Vessel dead weight,T,Data not available,N/A,Time granularity,days,Departure port name,N/A,Arrival port name,N/A,Airplane departure country iso3 code,N/A,Airplane arrival country iso3 code,N/A,Data not available,N/A,Arrival port id,N/A,Defines classification of voyage: trip happned(true) and trip classified as port stay(false),true or false,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
transportation,domestic-shipping,Port ,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total distance traveled of ships,nautical miles (NM),Average ratio between quantity of <gas> emitted and distance traveled,average kg of <gas> per NM traveled,Total number of voyages and stays,voyages,Data not available,N/A,Economic zone,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
transportation,international-shipping,Port ,Website downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total distance traveled of ships,nautical miles (NM),Average ratio between quantity of <gas> emitted and distance traveled,average kg of <gas> per NM traveled,Total number of voyages and stays,voyages,Data not available,N/A,Economic zone,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
