iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,41677125.79,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,7897.231737,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,40110032.33,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,7535.301334,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,2752.898216,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,42330595.33232,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,42183968.333558,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,42342527.128020994,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,40278859.26,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,7495.192001,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,2765.785277,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,42489915.91153199,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2,39201940.72,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,n2o,7245.465636999999,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,ch4,2694.2654350000003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_20yr,41341061.944708,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,residential-and-commercial-onsite-fuel-usage,co2e_100yr,41197428.545985,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
