iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,4542.297490308101,tonnes,annual,2023-10-03 21:10:35.880333,
BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:35.880323,
BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,127184.32972862682,tonnes,annual,2023-10-03 21:10:35.88035,
BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,381552.98918588046,tonnes,annual,2023-10-03 21:10:35.880358,
BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:35.88034,
BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,4542.297490308101,tonnes,annual,2023-10-03 21:10:36.023311,
BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.023299,
BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,127184.32972862682,tonnes,annual,2023-10-03 21:10:36.023327,
BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,381552.98918588046,tonnes,annual,2023-10-03 21:10:36.023335,
BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.023318,
BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,4542.297490308101,tonnes,annual,2023-10-03 21:10:36.161602,
BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.161591,
BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,127184.32972862682,tonnes,annual,2023-10-03 21:10:36.161621,
BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,381552.98918588046,tonnes,annual,2023-10-03 21:10:36.161631,
BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.161612,
BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,4542.297490308101,tonnes,annual,2023-10-03 21:10:36.308742,
BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.308727,
BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,127184.32972862682,tonnes,annual,2023-10-03 21:10:36.308769,
BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,381552.98918588046,tonnes,annual,2023-10-03 21:10:36.308781,
BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.308754,
BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,6342.761867583953,tonnes,annual,2023-10-03 21:10:36.450248,
BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,annual,2023-10-03 21:10:36.450234,
BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,177597.33229235068,tonnes,annual,2023-10-03 21:10:36.450267,
BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,532791.996877052,tonnes,annual,2023-10-03 21:10:36.450279,
BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,annual,2023-10-03 21:10:36.450256,
BRA,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,6342.761867583953,tonnes,annual,2023-10-03 21:10:36.604065,
