source_id,source_name,iso3_country,original_inventory_sector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
3162365,Butiá Leste Mine,BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162365,Butiá Leste Mine,BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162365,Butiá Leste Mine,BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162365,Butiá Leste Mine,BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162365,Butiá Leste Mine,BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162365,Butiá Leste Mine,BRA,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162365,Butiá Leste Mine,BRA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162365,Butiá Leste Mine,BRA,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,very high,very low,very low,very high,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162366,Calombo Coal Mine,BRA,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,very high,very low,very low,very high,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,very high,very low,very low,medium,,low,,,low,,low,2023-09-14 00:00:00,,low
3162367,Cerro Coal Mine,BRA,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,very high,very low,very low,very high,,low,,,low,,low,2023-09-14 00:00:00,,low
16609,Seival Coal Mine,BRA,coal-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,very high,high,very low,very low,,low,,,low,,low,2023-09-06 00:00:00,,low
16609,Seival Coal Mine,BRA,coal-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,very high,high,very low,very low,,low,,,low,,low,2023-09-06 00:00:00,,low
16609,Seival Coal Mine,BRA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,very high,high,very low,very low,,low,,,low,,low,2023-09-06 00:00:00,,low
16609,Seival Coal Mine,BRA,coal-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,very high,very high,very low,very low,,low,,,low,,low,2023-09-06 00:00:00,,low
