iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,62736304.13896656,tonnes,annual,2023-10-10 22:40:44.384288,2023-11-09 22:35:16.13567
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,77925333.72064896,tonnes,annual,2023-10-10 22:40:44.540998,2023-11-09 22:35:18.620909
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,86602059.61697698,tonnes,annual,2023-10-10 22:40:44.596264,2023-11-09 22:35:18.754762
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,79262050.41815658,tonnes,annual,2023-10-10 22:40:44.705716,2023-11-09 22:35:18.89523
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,86135326.81997864,tonnes,annual,2023-10-10 22:40:44.760053,2023-11-09 22:35:18.963609
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.384279,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.434294,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.487032,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.540988,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.596255,
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.650834,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.705707,
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,,tonnes,annual,2023-10-10 22:40:44.760043,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2,41190820.30128806,tonnes,annual,2023-10-10 22:40:44.384258,2023-10-27 23:15:06.835991
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,723002.8133449162,tonnes,annual,2023-10-10 22:40:44.384268,2023-10-27 23:15:06.835991
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,100838552.40224366,tonnes,annual,2023-10-10 22:40:44.384298,2023-10-27 23:15:06.835991
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,43924979.71348706,tonnes,annual,2023-10-10 22:40:44.434273,2023-10-27 23:15:09.389772
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,716501.3682001401,tonnes,annual,2023-10-10 22:40:44.434283,2023-10-27 23:15:09.389772
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,65276720.48585125,tonnes,annual,2023-10-10 22:40:44.434304,2023-11-09 22:35:18.479222
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,103036342.5899986,tonnes,annual,2023-10-10 22:40:44.434313,2023-10-27 23:15:09.389772
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,51880962.84716252,tonnes,annual,2023-10-10 22:40:44.487012,2023-10-27 23:15:09.480419
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,784036.3581617044,tonnes,annual,2023-10-10 22:40:44.487021,2023-10-27 23:15:09.480419
