source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25493997,Albacora,BRA,oil-and-gas-production-and-transport,-22.1235,-39.8568,trace_-39.8568_-22.1235,owner,Sinopec Group,100000000271.0,2.490242869563404,Sinopec Group,100000000271,2.490242869563404,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.812342,,,{7061}
25493997,Albacora,BRA,oil-and-gas-production-and-transport,-22.1235,-39.8568,trace_-39.8568_-22.1235,owner,Repsol,100000000980.0,3.7353643043451057,Repsol,100000000980,3.7353643043451057,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.812313,,,{7061}
25493997,Albacora,BRA,oil-and-gas-production-and-transport,-22.1235,-39.8568,trace_-39.8568_-22.1235,owner,PRIO,100001010738.0,56.03046456517657,PRIO,100001010738,56.03046456517657,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.812256,,,"{7061,34474,34475}"
25493997,Albacora,BRA,oil-and-gas-production-and-transport,-22.1235,-39.8568,trace_-39.8568_-22.1235,owner,Petrobras,100001010739.0,37.74392826091491,Petrobras,100001010739,37.74392826091491,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.812285,,,{7061}
25494021,Atapu Unitisation (P-70),BRA,oil-and-gas-production-and-transport,-24.9518,-42.4688,trace_-42.4688_-24.9518,owner,Sinopec Group,100000000271.0,0.18,Sinopec Group,100000000271,0.18,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.816524,,,{7061}
25494021,Atapu Unitisation (P-70),BRA,oil-and-gas-production-and-transport,-24.9518,-42.4688,trace_-42.4688_-24.9518,owner,TotalEnergies,100000000387.0,49.57,TotalEnergies,100000000387,49.57,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.816552,,,{7061}
25494021,Atapu Unitisation (P-70),BRA,oil-and-gas-production-and-transport,-24.9518,-42.4688,trace_-42.4688_-24.9518,owner,Shell,100000000746.0,23.27,Shell,100000000746,23.27,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.816253,,,{7061}
25494021,Atapu Unitisation (P-70),BRA,oil-and-gas-production-and-transport,-24.9518,-42.4688,trace_-42.4688_-24.9518,owner,Petrobras,100001010739.0,26.08,Petrobras,100001010739,26.08,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.816201,,,{7061}
25494021,Atapu Unitisation (P-70),BRA,oil-and-gas-production-and-transport,-24.9518,-42.4688,trace_-42.4688_-24.9518,owner,Galp Energia,100000000836.0,,Galp Energia,100001010827,0.42,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.816148,,,{7061}
25494021,Atapu Unitisation (P-70),BRA,oil-and-gas-production-and-transport,-24.9518,-42.4688,trace_-42.4688_-24.9518,owner,,,,Galp Energia,100001010827,0.42,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.816174,,,{7061}
25494021,Atapu Unitisation (P-70),BRA,oil-and-gas-production-and-transport,-24.9518,-42.4688,trace_-42.4688_-24.9518,owner,Pre-sal Petroleo,100001010828.0,0.48,Pre-sal Petroleo,100001010828,0.48,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.816227,,,{7061}
25494035,Baleia Azul,BRA,oil-and-gas-production-and-transport,-21.339,-40.001,trace_-40.001_-21.339,owner,Petrobras,100001010739.0,100.0,Petrobras,100001010739,100.0,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.819853,,,{7061}
25494046,Berbigao/ Sururu I (x-Iara) (P-68),BRA,oil-and-gas-production-and-transport,-24.9939,-42.6902,trace_-42.6902_-24.9939,owner,Sinopec Group,100000000271.0,3.0000000000000004,Sinopec Group,100000000271,3.0000000000000004,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.821495,,,{7061}
25494046,Berbigao/ Sururu I (x-Iara) (P-68),BRA,oil-and-gas-production-and-transport,-24.9939,-42.6902,trace_-42.6902_-24.9939,owner,TotalEnergies,100000000387.0,22.5,TotalEnergies,100000000387,22.5,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.821526,,,{7061}
25494046,Berbigao/ Sururu I (x-Iara) (P-68),BRA,oil-and-gas-production-and-transport,-24.9939,-42.6902,trace_-42.6902_-24.9939,owner,Shell,100000000746.0,25.0,Shell,100000000746,25.0,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.821468,,,{7061}
25494046,Berbigao/ Sururu I (x-Iara) (P-68),BRA,oil-and-gas-production-and-transport,-24.9939,-42.6902,trace_-42.6902_-24.9939,owner,Petrobras,100001010739.0,42.5,Petrobras,100001010739,42.5,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.821443,,,{7061}
25494046,Berbigao/ Sururu I (x-Iara) (P-68),BRA,oil-and-gas-production-and-transport,-24.9939,-42.6902,trace_-42.6902_-24.9939,owner,Galp Energia,100000000836.0,,Galp Energia,100001010827,6.999999999999999,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.821391,,,{7061}
25494046,Berbigao/ Sururu I (x-Iara) (P-68),BRA,oil-and-gas-production-and-transport,-24.9939,-42.6902,trace_-42.6902_-24.9939,owner,,,,Galp Energia,100001010827,6.999999999999999,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.821417,,,{7061}
25494075,Buzios,BRA,oil-and-gas-production-and-transport,-24.652,-42.415,trace_-42.415_-24.652,owner,CNOOC,100001010708.0,7.329999999999999,CNOOC,100001010708,7.329999999999999,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.823202,,,{7061}
25494075,Buzios,BRA,oil-and-gas-production-and-transport,-24.652,-42.415,trace_-42.415_-24.652,owner,CNPC,100001010716.0,3.669999999999999,CNPC,100001010716,3.669999999999999,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.823228,,,{7061}
25494075,Buzios,BRA,oil-and-gas-production-and-transport,-24.652,-42.415,trace_-42.415_-24.652,owner,Petrobras,100001010739.0,88.99999999999999,Petrobras,100001010739,88.99999999999999,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.823254,,,{7061}
25494175,Frade,BRA,oil-and-gas-production-and-transport,-21.8757,-39.842,trace_-39.842_-21.8757,owner,PRIO,100001010738.0,100.0,PRIO,100001010738,100.0,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.834608,,,"{7061,34474,34475}"
25494235,Iracema,BRA,oil-and-gas-production-and-transport,-25.2602,-42.8345,trace_-42.8345_-25.2602,owner,Sinopec Group,100000000271.0,3.0,Sinopec Group,100000000271,3.0,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.841877,,,{7061}
25494235,Iracema,BRA,oil-and-gas-production-and-transport,-25.2602,-42.8345,trace_-42.8345_-25.2602,owner,Shell,100000000746.0,25.0,Shell,100000000746,25.0,barrels_of_oil_equivalent,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.841847,,,{7061}
