iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,94359.23292208371,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:05:05.380741
BRA,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2642058.5218183445,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,7926175.565455033,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,other-fossil-fuel-operations,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,117992.17907885996,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:04:59.087681
BRA,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,3303781.0142080784,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,9911343.042624235,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,other-fossil-fuel-operations,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-fossil-fuel-operations,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,111522.32698429552,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,other-fossil-fuel-operations,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:04:52.286214
BRA,other-fossil-fuel-operations,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,3122625.1555602746,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,other-fossil-fuel-operations,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,9367875.466680825,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,other-fossil-fuel-operations,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-fossil-fuel-operations,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,103350.08231216528,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,other-fossil-fuel-operations,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:04:45.924633
BRA,other-fossil-fuel-operations,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2893802.304740628,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,other-fossil-fuel-operations,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,8681406.914221883,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,other-fossil-fuel-operations,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-fossil-fuel-operations,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,68779.98175045749,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,other-fossil-fuel-operations,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:04:39.618049
BRA,other-fossil-fuel-operations,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1925839.4890128097,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,other-fossil-fuel-operations,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,5777518.467038429,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,other-fossil-fuel-operations,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-fossil-fuel-operations,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,143348.69671185498,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-fossil-fuel-operations,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:04:33.251502
BRA,other-fossil-fuel-operations,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,4013763.5079319393,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-fossil-fuel-operations,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,12041290.52379582,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-fossil-fuel-operations,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-fossil-fuel-operations,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,175306.0577121664,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-fossil-fuel-operations,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-13 23:04:26.633707
BRA,other-fossil-fuel-operations,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,4908569.615940659,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-fossil-fuel-operations,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,14725708.847821975,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-fossil-fuel-operations,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-fossil-fuel-operations,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,20870.862617647224,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,other-fossil-fuel-operations,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-06 21:39:58.46121
BRA,other-fossil-fuel-operations,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,584384.1532941223,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,other-fossil-fuel-operations,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,1753152.459882367,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,other-fossil-fuel-operations,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.0,tonnes,,2023-10-06 14:56:33.428328,2023-10-06 21:39:58.46121
