iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.463093,
BRA,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,5213373.0,tonnes,annual,2023-10-12 17:27:07.46308,
BRA,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,5213373.0,tonnes,annual,2023-10-12 17:27:07.463109,
BRA,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,5213373.0,tonnes,annual,2023-10-12 17:27:07.463116,
BRA,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.463101,
BRA,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.608617,
BRA,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,4414283.0,tonnes,annual,2023-10-12 17:27:07.608604,
BRA,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,4414283.0,tonnes,annual,2023-10-12 17:27:07.608633,
BRA,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,4414283.0,tonnes,annual,2023-10-12 17:27:07.60864,
BRA,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.608625,
BRA,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.759885,
BRA,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,4402673.0,tonnes,annual,2023-10-12 17:27:07.759872,
BRA,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4402673.0,tonnes,annual,2023-10-12 17:27:07.759901,
BRA,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,4402673.0,tonnes,annual,2023-10-12 17:27:07.759909,
BRA,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.759893,
BRA,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.916051,
BRA,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,3446460.0,tonnes,annual,2023-10-12 17:27:07.916039,
BRA,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,3446460.0,tonnes,annual,2023-10-12 17:27:07.916068,
BRA,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,3446460.0,tonnes,annual,2023-10-12 17:27:07.916075,
BRA,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.916059,
BRA,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.068372,
BRA,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,3358801.0,tonnes,annual,2023-10-12 17:27:08.06836,
BRA,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,3358801.0,tonnes,annual,2023-10-12 17:27:08.068388,
BRA,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,3358801.0,tonnes,annual,2023-10-12 17:27:08.068396,
BRA,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.06838,
BRA,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.213401,
BRA,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,3281366.0,tonnes,annual,2023-10-12 17:27:08.213389,
BRA,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,3281366.0,tonnes,annual,2023-10-12 17:27:08.213417,
BRA,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,3281366.0,tonnes,annual,2023-10-12 17:27:08.213424,
BRA,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.213409,
BRA,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.35891,
BRA,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,3546750.0,tonnes,annual,2023-10-12 17:27:08.358897,
BRA,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,3546750.0,tonnes,annual,2023-10-12 17:27:08.358927,
BRA,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,3546750.0,tonnes,annual,2023-10-12 17:27:08.358934,
BRA,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.358918,
BRA,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.506961,
BRA,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,3658400.0,tonnes,annual,2023-10-12 17:27:08.506949,
BRA,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,3658400.0,tonnes,annual,2023-10-12 17:27:08.506977,
BRA,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,3658400.0,tonnes,annual,2023-10-12 17:27:08.506984,
BRA,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.506969,
BRA,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.662042,
BRA,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,999629.0,tonnes,annual,2023-10-12 17:27:08.662029,
