source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other4,other5,other6,other7,other1_def,other2_def,other3_def,other4_def,other5_def,other6_def,other7_def,geometry_ref
18653428,BRA,aluminum,2022-01-01 00:00:00,2022-01-31 00:00:00,month,co2,4107,0.20998571,T of CO2 per T of aluminum,120000,T of aluminum,1,19559,T of aluminum,2023-10-12 00:00:00,,Pocos de Caldas Bauxite Mine and Alumina Refinery,Refinery,-21.8434,-46.5922,0.22071233,4316.85038872,0.20998571,4107.05145983,2142.57093571,0.01072662,0.10954557,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-46.5922_-21.8434
18653500,BRA,aluminum,2023-02-01 00:00:00,2023-02-28 00:00:00,month,n2o,,,field_not_modeled,460000,T of aluminum,1,47103,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,184121.10744664,2.4725,116462.96125461,690958.61623616,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2015-02-01 00:00:00,2015-02-28 00:00:00,month,co2,111217,2.4725,T of CO2 per T of aluminum,460000,T of aluminum,1,44982,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,4.72065632,212342.43748162,2.4725,111216.88191882,669820.25830258,2.24815632,14.891,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2023-02-01 00:00:00,2023-02-28 00:00:00,month,co2e_100yr,116463,,,460000,T of aluminum,1,47103,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,184121.10744664,2.4725,116462.96125461,690958.61623616,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2023-02-01 00:00:00,2023-02-28 00:00:00,month,co2e_20yr,116463,,,460000,T of aluminum,1,47103,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,184121.10744664,2.4725,116462.96125461,690958.61623616,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2023-02-01 00:00:00,2023-02-28 00:00:00,month,ch4,,,field_not_modeled,460000,T of aluminum,1,47103,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,184121.10744664,2.4725,116462.96125461,690958.61623616,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2023-02-01 00:00:00,2023-02-28 00:00:00,month,co2,116463,2.4725,T of CO2 per T of aluminum,460000,T of aluminum,1,47103,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,184121.10744664,2.4725,116462.96125461,690958.61623616,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2022-02-01 00:00:00,2022-02-28 00:00:00,month,co2e_20yr,95479,,,460000,T of aluminum,1,38616,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,150946.13313193,2.4725,95478.64391144,566461.56826568,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2022-02-01 00:00:00,2022-02-28 00:00:00,month,co2e_100yr,95479,,,460000,T of aluminum,1,38616,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,150946.13313193,2.4725,95478.64391144,566461.56826568,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
18653500,BRA,aluminum,2022-02-01 00:00:00,2022-02-28 00:00:00,month,n2o,,,field_not_modeled,460000,T of aluminum,1,38616,T of aluminum,2023-10-12 00:00:00,2024-02-27 14:36:31.515312,Belem aluminium plant,Smelting,-1.5572746,-48.73547132820987,3.90887741,150946.13313193,2.4725,95478.64391144,566461.56826568,1.43637741,14.669,Total emissions factor (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + Cpc Production Emissions + Alumina Refining Emissions),Total emissions (Anode Consumption Emissions + Electrolysis Electricity Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions factor excluding electricity factor  (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),Total emissions excluding electricity (Anode Consumption Emissions + Anode Production Emissions + CPC Production Emissions + Alumina Refining Emissions),total_electricity_consumption,average_electricity_emission_factor,average_electricity_consumption_factor,trace_-48.73547132820987_-1.5572746
