source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
18655213,Adrianópolis cement plant,BRA,cement,-24.669459,-48.979959,trace_-48.979959_-24.669459,owner,Ciminpart - Investimentos E Participações Sgps Sa,100001026078.0,,Supremo Cimentos,100001013091,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126988,,,{7061}
18655213,Adrianópolis cement plant,BRA,cement,-24.669459,-48.979959,trace_-48.979959_-24.669459,owner,,,,Supremo Cimentos,100001013091,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127003,,,{7061}
18655196,Apiaí cement plant,BRA,cement,-24.518867,-48.856014,trace_-48.856014_-24.518867,owner,InterCement Brasil,100001013096.0,100.0,InterCement Brasil,100001013096,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127389,,,{7061}
18655193,Arcos cement plant (0025),BRA,cement,-20.31263,-45.583988,trace_-45.583988_-20.31263,owner,CSN Cimentos,100001013089.0,100.0,CSN Cimentos,100001013089,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127612,,,{7061}
18655181,Balsa Nova cement plant,BRA,cement,-25.458029,-49.610131,trace_-49.610131_-25.458029,owner,Cia De Cimento Itambé,100001013099.0,100.0,Cia De Cimento Itambé,100001013099,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127565,,,{7061}
18655216,Baraúna cement plant,BRA,cement,-5.072994,-37.716134,trace_-37.716134_-5.072994,owner,Mizu,100001013093.0,100.0,Mizu,100001013093,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.12709,,,"{7061,34381,34382}"
18655206,Barroso cement plant,BRA,cement,-21.18078,-43.981104,trace_-43.981104_-21.18078,owner,LafargeHolcim Brasil,100001013095.0,100.0,LafargeHolcim Brasil,100001013095,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.12773,,,{7061}
18655197,Bodoquena cement plant,BRA,cement,-20.473665,-56.72942,trace_-56.72942_-20.473665,owner,InterCement Brasil,100001013096.0,100.0,InterCement Brasil,100001013096,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127404,,,{7061}
18655215,Brasília cement plant (0058),BRA,cement,-15.570003,-47.854243,trace_-47.854243_-15.570003,owner,Ciplan Cimento Planalto,100001013194.0,100.0,Ciplan Cimento Planalto,100001013194,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127638,,,{7061}
18655231,Brasília cement plant (0074),BRA,cement,-15.586387,-47.874042,trace_-47.874042_-15.586387,owner,Votorantim Cimentos,100001013094.0,100.0,Votorantim Cimentos,100001013094,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127296,,,{7061}
18655212,Caaporã cement plant,BRA,cement,-7.529795,-34.865204,trace_-34.865204_-7.529795,owner,LafargeHolcim Brasil,100001013095.0,100.0,LafargeHolcim Brasil,100001013095,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127373,,,{7061}
18655182,Cachoeiro de Itapemirim cement plant (0009),BRA,cement,-20.780254,-41.118409,trace_-41.118409_-20.780254,owner,Itabira Agro Industrial,100001013100.0,100.0,Itabira Agro Industrial,100001013100,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127581,,,{7061}
18655198,Cajati cement plant,BRA,cement,-24.708727,-48.117464,trace_-48.117464_-24.708727,owner,InterCement Brasil,100001013096.0,100.0,InterCement Brasil,100001013096,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127419,,,{7061}
18655199,Campo Formoso cement plant,BRA,cement,-10.518039,-40.330504,trace_-40.330504_-10.518039,owner,InterCement Brasil,100001013096.0,100.0,InterCement Brasil,100001013096,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127435,,,{7061}
18655205,Candiota cement plant,BRA,cement,-31.585375,-53.67145,trace_-53.67145_-31.585375,owner,InterCement Brasil,100001013096.0,100.0,InterCement Brasil,100001013096,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127512,,,{7061}
18655208,Cantagalo cement plant (0046),BRA,cement,-21.941689,-42.271287,trace_-42.271287_-21.941689,owner,LafargeHolcim Brasil,100001013095.0,100.0,LafargeHolcim Brasil,100001013095,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127762,,,{7061}
18655221,Cantagalo cement plant (0064),BRA,cement,-21.912475,-42.262257,trace_-42.262257_-21.912475,owner,Votorantim Cimentos,100001013094.0,100.0,Votorantim Cimentos,100001013094,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127188,,,{7061}
18655191,Carandaí cement plant,BRA,cement,-20.900704,-43.818949,trace_-43.818949_-20.900704,owner,Cimento Tupi,100001013193.0,100.0,Cimento Tupi,100001013193,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127596,,,{7061}
18655200,Cezarina cement plant,BRA,cement,-17.010255,-49.781312,trace_-49.781312_-17.010255,owner,InterCement Brasil,100001013096.0,100.0,InterCement Brasil,100001013096,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127793,,,{7061}
18655220,Cuiabá cement plant,BRA,cement,-15.333379,-56.137768,trace_-56.137768_-15.333379,owner,Votorantim Cimentos,100001013094.0,100.0,Votorantim Cimentos,100001013094,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127172,,,{7061}
18655223,Edealina cement plant,BRA,cement,-17.258058,-49.786396,trace_-49.786396_-17.258058,owner,Votorantim Cimentos,100001013094.0,100.0,Votorantim Cimentos,100001013094,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127204,,,{7061}
18655189,Fronteiras cement plant,BRA,cement,-6.953261,-40.52013,trace_-40.52013_-6.953261,owner,Itapissuma,100001013086.0,100.0,Itapissuma,100001013086,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126909,,,{7061}
18655186,Goiana cement plant,BRA,cement,-7.631111,-34.863279,trace_-34.863279_-7.631111,owner,Itapessoca Agro Industrial,100001013083.0,100.0,Itapessoca Agro Industrial,100001013083,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126789,,,{7061}
18655201,Ijaci cement plant,BRA,cement,-21.194785,-44.938742,trace_-44.938742_-21.194785,owner,InterCement Brasil,100001013096.0,100.0,InterCement Brasil,100001013096,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.12745,,,{7061}
18655185,Itaituba cement plant,BRA,cement,-4.321762,-56.219968,trace_-56.219968_-4.321762,owner,Itaituba Industria de Cimentos do Para,100001013082.0,100.0,Itaituba Industria de Cimentos do Para,100001013082,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126774,,,{7061}
18655210,Itapeva cement plant,BRA,cement,-23.988499,-48.917417,trace_-48.917417_-23.988499,owner,LafargeHolcim Brasil,100001013095.0,100.0,LafargeHolcim Brasil,100001013095,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127358,,,{7061}
18655224,Itaú de Minas cement plant,BRA,cement,-20.764215,-46.769658,trace_-46.769658_-20.764215,owner,Votorantim Cimentos,100001013094.0,100.0,Votorantim Cimentos,100001013094,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.127669,,,{7061}
18655183,Ituaçu cement plant,BRA,cement,-13.895437,-41.281472,trace_-41.281472_-13.895437,owner,Itaguarana Agro Industrial,100001013080.0,100.0,Itaguarana Agro Industrial,100001013080,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126742,,,{7061}
