iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-12 17:27:07.293336,
BRA,chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,2529424,tonnes,annual,2023-10-12 17:27:07.293325,
BRA,chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2529424,tonnes,annual,2023-10-12 17:27:07.293348,
BRA,chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,2529424,tonnes,annual,2023-10-12 17:27:07.293354,
BRA,chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-12 17:27:07.293342,
BRA,chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-12 17:27:07.425716,
BRA,chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,2507259,tonnes,annual,2023-10-12 17:27:07.425708,
BRA,chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2507259,tonnes,annual,2023-10-12 17:27:07.425728,
BRA,chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2507259,tonnes,annual,2023-10-12 17:27:07.425741,
BRA,chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-12 17:27:07.425721,
BRA,chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-12 17:27:07.551111,
BRA,chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,2522569,tonnes,annual,2023-10-12 17:27:07.551104,
BRA,chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2522569,tonnes,annual,2023-10-12 17:27:07.551123,
BRA,chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,2522569,tonnes,annual,2023-10-12 17:27:07.551138,
BRA,chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-12 17:27:07.551117,
BRA,chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-12 17:27:07.682801,
BRA,chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,2522090,tonnes,annual,2023-10-12 17:27:07.682792,
BRA,chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2522090,tonnes,annual,2023-10-12 17:27:07.682813,
BRA,chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2522090,tonnes,annual,2023-10-12 17:27:07.682818,
BRA,chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-12 17:27:07.682806,
BRA,chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-12 17:27:07.819076,
BRA,chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,2500318,tonnes,annual,2023-10-12 17:27:07.819069,
BRA,chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2500318,tonnes,annual,2023-10-12 17:27:07.819087,
BRA,chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,2500318,tonnes,annual,2023-10-12 17:27:07.819093,
BRA,chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,0,tonnes,annual,2023-10-12 17:27:07.819081,
BRA,chemicals,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,0,tonnes,annual,2023-10-12 17:27:07.951158,
BRA,chemicals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,2467837,tonnes,annual,2023-10-12 17:27:07.951147,
BRA,chemicals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2467837,tonnes,annual,2023-10-12 17:27:07.95117,
