iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,petrochemicals,n2o,,tonnes,annual,2023-11-13 18:37:04.049572,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,petrochemicals,co2,4985673.862,tonnes,annual,2023-11-13 18:37:04.049553,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,petrochemicals,ch4,8913.600469,tonnes,annual,2023-11-13 18:37:04.049562,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,petrochemicals,co2e_20yr,5724017.101,tonnes,annual,2023-11-13 18:37:04.049589,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,petrochemicals,co2e_100yr,5248625.076,tonnes,annual,2023-11-13 18:37:04.049581,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,petrochemicals,n2o,,tonnes,annual,2023-11-13 18:37:04.068498,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,petrochemicals,co2,4880771.236,tonnes,annual,2023-11-13 18:37:04.06841,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,petrochemicals,ch4,8726.051078,tonnes,annual,2023-11-13 18:37:04.068484,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,petrochemicals,co2e_20yr,5603579.134,tonnes,annual,2023-11-13 18:37:04.068514,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,petrochemicals,co2e_100yr,5138189.743,tonnes,annual,2023-11-13 18:37:04.068507,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,petrochemicals,n2o,,tonnes,annual,2023-11-13 18:37:04.087499,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,petrochemicals,co2,5044435.762,tonnes,annual,2023-11-13 18:37:04.087479,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,petrochemicals,ch4,9018.6575,tonnes,annual,2023-11-13 18:37:04.087489,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,petrochemicals,co2e_20yr,5791481.224,tonnes,annual,2023-11-13 18:37:04.087515,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,petrochemicals,co2e_100yr,5310486.158,tonnes,annual,2023-11-13 18:37:04.087507,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,petrochemicals,n2o,,tonnes,annual,2023-11-13 18:37:04.106897,
