iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2,9784040,tonnes,annual,2023-10-11 18:24:11.757538,2023-11-03 11:49:10.951665
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_100yr,9784040,tonnes,annual,2023-10-11 18:24:11.757567,2023-11-03 11:49:10.951665
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,co2e_20yr,9784040,tonnes,annual,2023-10-11 18:24:11.757575,2023-11-03 11:49:10.951665
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,pulp-and-paper,co2,10580007,tonnes,annual,2023-10-11 18:24:11.90648,2023-11-03 11:49:13.091317
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,pulp-and-paper,co2e_100yr,10580007,tonnes,annual,2023-10-11 18:24:11.906519,2023-11-03 11:49:13.091317
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,pulp-and-paper,co2e_20yr,10580007,tonnes,annual,2023-10-11 18:24:11.906526,2023-11-03 11:49:13.091317
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,pulp-and-paper,co2,11019246,tonnes,annual,2023-10-11 18:24:12.075371,2023-11-03 11:49:13.160457
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,pulp-and-paper,co2e_100yr,11019246,tonnes,annual,2023-10-11 18:24:12.0754,2023-11-03 11:49:13.160457
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,pulp-and-paper,co2e_20yr,11019246,tonnes,annual,2023-10-11 18:24:12.075407,2023-11-03 11:49:13.160457
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,pulp-and-paper,co2,11924442,tonnes,annual,2023-10-11 18:24:12.227663,2023-11-03 11:49:13.218241
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,pulp-and-paper,co2e_100yr,11924442,tonnes,annual,2023-10-11 18:24:12.227692,2023-11-03 11:49:13.218241
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,pulp-and-paper,co2e_20yr,11924442,tonnes,annual,2023-10-11 18:24:12.227699,2023-11-03 11:49:13.218241
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,pulp-and-paper,co2,11156364,tonnes,annual,2023-10-11 18:24:12.416285,2023-11-03 11:49:13.334868
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,pulp-and-paper,co2e_100yr,11156364,tonnes,annual,2023-10-11 18:24:12.416314,2023-11-03 11:49:13.334868
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,pulp-and-paper,co2e_20yr,11156364,tonnes,annual,2023-10-11 18:24:12.416322,2023-11-03 11:49:13.334868
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,pulp-and-paper,co2,11842523,tonnes,annual,2023-10-11 18:24:12.607354,2023-11-03 11:49:13.392397
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,pulp-and-paper,co2e_100yr,11842523,tonnes,annual,2023-10-11 18:24:12.607383,2023-11-03 11:49:13.392397
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,pulp-and-paper,co2e_20yr,11842523,tonnes,annual,2023-10-11 18:24:12.607391,2023-11-03 11:49:13.392397
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,pulp-and-paper,co2,12709957,tonnes,annual,2023-10-11 18:24:12.768339,2023-11-03 11:49:13.449985
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,pulp-and-paper,co2e_100yr,12709957,tonnes,annual,2023-10-11 18:24:12.768368,2023-11-03 11:49:13.449985
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,pulp-and-paper,co2e_20yr,12709957,tonnes,annual,2023-10-11 18:24:12.768376,2023-11-03 11:49:13.449985
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,pulp-and-paper,co2,12709957,tonnes,annual,2023-10-11 18:24:12.921392,2023-11-03 11:49:13.508903
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,pulp-and-paper,co2e_100yr,12709957,tonnes,annual,2023-10-11 18:24:12.921423,2023-11-03 11:49:13.508903
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,pulp-and-paper,co2e_20yr,12709957,tonnes,annual,2023-10-11 18:24:12.921432,2023-11-03 11:49:13.508903
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:11.75755,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:11.757559,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:11.906502,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:11.90651,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:12.075383,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:12.075392,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:12.227675,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:12.227684,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:12.416297,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:12.416305,
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:12.607367,
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:12.607375,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:12.768352,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:12.76836,
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,pulp-and-paper,ch4,,tonnes,annual,2023-10-11 18:24:12.921405,
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,pulp-and-paper,n2o,,tonnes,annual,2023-10-11 18:24:12.921414,
