source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
18652432,Belo Oriente Pulp,BRA,pulp-and-paper,-19.319844,-42.395166,trace_-42.395166_-19.319844,owner,CENIBRA-Celulose Nipo-Brasileira,100001011670,100,CENIBRA-Celulose Nipo-Brasileira,100001011670,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951973,,,
18652468,Cacador Pulp Paperboard and Sacks,BRA,pulp-and-paper,-26.814678,-51.009853,trace_-51.009853_-26.814678,owner,Primo Tedesco,100001011657,100,Primo Tedesco,100001011657,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.95158,,,
18652455,Camacari Pulp,BRA,pulp-and-paper,-12.641473,-38.336363,trace_-38.336363_-12.641473,owner,Bracell Bahia Specialty Cellulose,100001011663,100,Bracell Bahia Specialty Cellulose,100001011663,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951794,,,
18652473,Fraiburgo Pulp and Paper,BRA,pulp-and-paper,-27.021056,-50.922002,trace_-50.922002_-27.021056,owner,Trombini Industrial,100001011655,100,Trombini Industrial,100001011655,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951536,,,
18652533,Imperatriz Pulp and Paper,BRA,pulp-and-paper,-5.4179947,-47.5699425,trace_-47.5699425_-5.4179947,owner,Suzano,100001000044,100,Suzano,100001000044,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.950416,,,{5089}
18652466,Lencois Paulista Pulp,BRA,pulp-and-paper,-22.543012,-48.808722,trace_-48.808722_-22.543012,owner,Royal Golden Eagle,100001000056,100,Bracell SP Celulose,100001000055,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951632,,,"{5144,5145}"
18652475,"Luis Antonio Pulp, Paper and Boxboard",BRA,pulp-and-paper,-21.572796,-47.916762,trace_-47.916762_-21.572796,owner,International Paper Do Brasil,100001011654,100,International Paper Do Brasil,100001011654,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951514,,,
18652463,"Pirai do Sul Plywood, Pulp, Paper and Bags",BRA,pulp-and-paper,-24.547045,-49.923138,trace_-49.923138_-24.547045,owner,Grupo Imaribo,100001011659,100,Grupo Imaribo,100001011659,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951676,,,
18652470,Tres Barras Pulp and Paper,BRA,pulp-and-paper,-26.120623,-50.318561,trace_-50.318561_-26.120623,owner,WestRock Brasil,100001011656,100,WestRock Brasil,100001011656,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951558,,,
18652537,Tres Lagoas (Eldorado) Pulp,BRA,pulp-and-paper,-20.599415,-51.61052,trace_-51.61052_-20.599415,owner,Eldorado Brasil Celulose,100001011615,100,Eldorado Brasil Celulose,100001011615,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.950294,,,
