iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,steel,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.704592,
BRA,steel,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,51193180.0,tonnes,annual,2023-10-12 17:27:07.70457,
BRA,steel,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,51193180.0,tonnes,annual,2023-10-12 17:27:07.704624,
BRA,steel,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,51193180.0,tonnes,annual,2023-10-12 17:27:07.704662,
BRA,steel,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.704608,
BRA,steel,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:07.955645,
BRA,steel,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,45920008.0,tonnes,annual,2023-10-12 17:27:07.955624,
BRA,steel,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,45920008.0,tonnes,annual,2023-10-12 17:27:07.955672,
BRA,steel,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,45920008.0,tonnes,annual,2023-10-12 17:27:07.955684,
BRA,steel,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:07.955658,
BRA,steel,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.209447,
BRA,steel,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,47513010.0,tonnes,annual,2023-10-12 17:27:08.209426,
BRA,steel,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,47513010.0,tonnes,annual,2023-10-12 17:27:08.209474,
BRA,steel,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,47513010.0,tonnes,annual,2023-10-12 17:27:08.209486,
BRA,steel,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.20946,
BRA,steel,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.43997,
BRA,steel,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,46499578.0,tonnes,annual,2023-10-12 17:27:08.439951,
BRA,steel,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,46499578.0,tonnes,annual,2023-10-12 17:27:08.439991,
BRA,steel,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,46499578.0,tonnes,annual,2023-10-12 17:27:08.44,
BRA,steel,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.439981,
BRA,steel,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.635636,
BRA,steel,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,44337852.0,tonnes,annual,2023-10-12 17:27:08.635622,
BRA,steel,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,44337852.0,tonnes,annual,2023-10-12 17:27:08.635655,
BRA,steel,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,44337852.0,tonnes,annual,2023-10-12 17:27:08.635664,
BRA,steel,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.635646,
BRA,steel,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:08.862149,
BRA,steel,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,43016938.0,tonnes,annual,2023-10-12 17:27:08.862136,
BRA,steel,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,43016938.0,tonnes,annual,2023-10-12 17:27:08.862165,
BRA,steel,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,43016938.0,tonnes,annual,2023-10-12 17:27:08.862172,
BRA,steel,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-12 17:27:08.862157,
BRA,steel,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-12 17:27:09.076546,
BRA,steel,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,47008302.0,tonnes,annual,2023-10-12 17:27:09.076532,
BRA,steel,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,47008302.0,tonnes,annual,2023-10-12 17:27:09.076564,
BRA,steel,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,47008302.0,tonnes,annual,2023-10-12 17:27:09.076572,
