source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
61438,AVB Açailândia steel plant,BRA,steel,-4.874373,-47.4073517,trace_-47.4073517_-4.874373,owner,Ferroeste Industrial,100000130893,100.0,Aco Verde do Brasil,100000130886,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075704,,{15162},"{6722,15162}"
61445,Aperam Timóteo steel plant,BRA,steel,-19.531272,-42.639979,trace_-42.639979_-19.531272,owner,Aperam,100000130966,100.0,Aperam Inox America do Sul,100000130690,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075865,,{15169},"{6544,15169}"
61442,ArcelorMittal Barra Mansa steel plant,BRA,steel,-22.525806,-44.191067,trace_-44.191067_-22.525806,owner,ArcelorMittal,100000000687,97.08,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075787,,{15171},"{6341,15171}"
61442,ArcelorMittal Barra Mansa steel plant,BRA,steel,-22.525806,-44.191067,trace_-44.191067_-22.525806,owner,other,100000001753,2.92,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075805,,{15171},{15171}
61437,ArcelorMittal Juiz de Fora steel plant,BRA,steel,-21.626963,-43.462361,trace_-43.462361_-21.626963,owner,ArcelorMittal,100000000687,97.08,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075662,,{15167},"{6341,15167}"
61437,ArcelorMittal Juiz de Fora steel plant,BRA,steel,-21.626963,-43.462361,trace_-43.462361_-21.626963,owner,other,100000001753,2.92,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075684,,{15167},{15167}
61426,ArcelorMittal Monlevade steel plant,BRA,steel,-19.832129,-43.130164,trace_-43.130164_-19.832129,owner,ArcelorMittal,100000000687,97.08,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075291,,{15166},"{6341,15166}"
61426,ArcelorMittal Monlevade steel plant,BRA,steel,-19.832129,-43.130164,trace_-43.130164_-19.832129,owner,other,100000001753,2.92,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.07531,,{15166},{15166}
61432,ArcelorMittal Pecém steel plant,BRA,steel,-3.585917,-38.858932,trace_-38.858932_-3.585917,owner,ArcelorMittal,100000000687,97.08,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075425,,{15159},"{6341,15159}"
61432,ArcelorMittal Pecém steel plant,BRA,steel,-3.585917,-38.858932,trace_-38.858932_-3.585917,owner,other,100000001753,2.92,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075457,,{15159},{15159}
61433,ArcelorMittal Piracicaba steel plant,BRA,steel,-22.698154,-47.657146,trace_-47.657146_-22.698154,owner,ArcelorMittal,100000000687,97.08,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075477,,{15180},"{6341,15180}"
61433,ArcelorMittal Piracicaba steel plant,BRA,steel,-22.698154,-47.657146,trace_-47.657146_-22.698154,owner,other,100000001753,2.92,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075495,,{15180},{15180}
61427,ArcelorMittal Resende steel plant,BRA,steel,-22.493597,-44.512628,trace_-44.512628_-22.493597,owner,ArcelorMittal,100000000687,97.08,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075329,,{15172},"{6341,15172}"
61427,ArcelorMittal Resende steel plant,BRA,steel,-22.493597,-44.512628,trace_-44.512628_-22.493597,owner,other,100000001753,2.92,ArcelorMittal Brasil,100001000493,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075347,,{15172},{15172}
61425,ArcelorMittal Tubarão steel plant,BRA,steel,-20.253447,-40.242298,trace_-40.242298_-20.253447,owner,ArcelorMittal,100000000687,97.08,ArcelorMittal Tubarão Comercial,100001000507,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.07525,,{15161},"{5711,6341,15161}"
61425,ArcelorMittal Tubarão steel plant,BRA,steel,-20.253447,-40.242298,trace_-40.242298_-20.253447,owner,other,100000001753,2.92,ArcelorMittal Tubarão Comercial,100001000507,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075272,,{15161},"{5711,6341,15161}"
61430,CSN Volta Redonda steel plant,BRA,steel,-22.512631,-44.11287,trace_-44.11287_-22.512631,owner,Companhia Siderúrgica Nacional,100001000652,100.0,Companhia Siderúrgica Nacional,100001000652,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075405,,{15175},{15175}
61424,Gerdau Açominas Ouro Branco steel plant,BRA,steel,-20.543507,-43.75295,trace_-43.75295_-20.543507,owner,Gerdau,100001010270,99.99,Gerdau Acominas,100001010278,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075229,,{15168},"{6476,6477,15168}"
61434,Gerdau Cosigua Santa Cruz steel plant,BRA,steel,-22.90242,-43.749319,trace_-43.749319_-22.90242,owner,Gerdau,100001010270,99.98,Gerdau Acos Longos,100001010277,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075517,,{15174},"{6476,6477,15174}"
61439,Gerdau Divinópolis steel plant,BRA,steel,-20.153931,-44.878995,trace_-44.878995_-20.153931,owner,Gerdau,100001010270,99.98,Gerdau Acos Longos,100001010277,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075725,,{15163},"{6476,6477,15163}"
61441,Gerdau Guaíra Araucária steel plant,BRA,steel,-25.564041,-49.421729,trace_-49.421729_-25.564041,owner,Gerdau,100001010270,99.98,Gerdau Acos Longos,100001010277,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075768,,{15170},"{6476,6477,15170}"
61447,Gerdau Pindamonhangaba steel plant,BRA,steel,-22.89918,-45.347726,trace_-45.347726_-22.89918,owner,Gerdau,100001010270,100.0,Gerdau Acos Especiais,100001010294,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075884,,{15179},"{6477,15179}"
61440,Gerdau São Paulo Araçariguama steel plant,BRA,steel,-23.43864,-47.08825,trace_-47.08825_-23.43864,owner,Gerdau,100001010270,99.98,Gerdau Acos Longos,100001010277,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075746,,{15176},"{6476,6477,15176}"
61444,Simec Cariacica steel plant,BRA,steel,-20.34291,-40.360864,trace_-40.360864_-20.34291,owner,Grupo Simec SAB de,100000130728,100.0,GV do Brasil Industria e Comercio de Aço,100000130990,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075845,,{15160},"{6807,15160}"
61443,Simec Pindamonhangaba steel plant,BRA,steel,-22.921912,-45.413234,trace_-45.413234_-22.921912,owner,Grupo Simec SAB de,100000130728,100.0,GV do Brasil Industria e Comercio de Aço,100000130990,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075825,,{15178},"{6807,15178}"
61429,Ternium Brasil Santa Cruz steel plant,BRA,steel,-22.912549,-43.741614,trace_-43.741614_-22.912549,owner,Ternium,100001000384,100.0,Ternium Brasil,100000131066,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075386,,{15173},"{6545,15173}"
61428,Usiminas Cubatão steel plant,BRA,steel,-23.863092,-46.376294,trace_-46.376294_-23.863092,owner,Usinas Siderurgicas de Minas Gerais SA USIMINAS,100000130691,100.0,Usinas Siderurgicas de Minas Gerais SA USIMINAS,100000130691,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075366,,{15177},{15177}
61435,Usiminas Ipatinga steel plant,BRA,steel,-19.491277,-42.544253,trace_-42.544253_-19.491277,owner,Usinas Siderurgicas de Minas Gerais SA USIMINAS,100000130691,100.0,Usinas Siderurgicas de Minas Gerais SA USIMINAS,100000130691,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075535,,{15164},{15164}
61436,Vallourec Jeceaba steel plant,BRA,steel,-20.582683,-43.971555,trace_-43.971555_-20.582683,owner,other,100000001753,0.4,Vallourec Solucoes Tubulares do Brasil,100000130951,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075622,,{15165},"{6773,15165}"
61436,Vallourec Jeceaba steel plant,BRA,steel,-20.582683,-43.971555,trace_-43.971555_-20.582683,owner,Vallourec,100000130697,99.6,Vallourec Solucoes Tubulares do Brasil,100000130951,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075642,,{15165},"{6773,15165}"
