iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.297647,
BRA,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,924008.0,tonnes,annual,2023-10-03 21:10:31.297633,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,924008.0,tonnes,annual,2023-10-03 21:10:31.297664,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,924008.0,tonnes,annual,2023-10-03 21:10:31.297671,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.297656,
BRA,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.298177,
BRA,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1043024.0,tonnes,annual,2023-10-03 21:10:31.298164,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1043024.0,tonnes,annual,2023-10-03 21:10:31.298194,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,1043024.0,tonnes,annual,2023-10-03 21:10:31.298202,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.298186,
BRA,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.298712,
BRA,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1039528.0,tonnes,annual,2023-10-03 21:10:31.298698,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1039528.0,tonnes,annual,2023-10-03 21:10:31.298729,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,1039528.0,tonnes,annual,2023-10-03 21:10:31.298737,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.29872,
BRA,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.29937,
BRA,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1200800.0,tonnes,annual,2023-10-03 21:10:31.299357,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1200800.0,tonnes,annual,2023-10-03 21:10:31.299388,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,1200800.0,tonnes,annual,2023-10-03 21:10:31.299396,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.29938,
BRA,bauxite-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.299906,
BRA,bauxite-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,1596000.0,tonnes,annual,2023-10-03 21:10:31.299893,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1596000.0,tonnes,annual,2023-10-03 21:10:31.299924,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,1596000.0,tonnes,annual,2023-10-03 21:10:31.299931,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.299915,
BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.300447,
BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,455589.0,tonnes,annual,2023-10-03 21:10:31.300434,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,455589.0,tonnes,annual,2023-10-03 21:10:31.300465,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,455589.0,tonnes,annual,2023-10-03 21:10:31.300474,2023-11-02 13:52:59.881703
BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.300456,
BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.301091,
BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,537281.0,tonnes,annual,2023-10-03 21:10:31.301078,2023-10-30 14:42:57.535391
BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,537281.0,tonnes,annual,2023-10-03 21:10:31.301108,2023-10-30 14:42:57.535391
BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,537281.0,tonnes,annual,2023-10-03 21:10:31.301115,2023-10-30 14:42:57.535391
BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.3011,
BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.30163,
BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,510426.0,tonnes,annual,2023-10-03 21:10:31.301617,2023-10-30 14:42:57.535391
BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,510426.0,tonnes,annual,2023-10-03 21:10:31.301647,2023-10-30 14:42:57.535391
BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,510426.0,tonnes,annual,2023-10-03 21:10:31.301655,2023-10-30 14:42:57.535391
BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.301639,
