source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,capacity,capacity_units,capacity_factor,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
25487541,BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487541,BRA,bauxite-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,PDC Alcoa Mine,bauxite-mine,-21.856718,-46.580276,trace_-46.580276_-21.856718
25487542,BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,6730,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Pocos de Caldas Mine,bauxite-mine,-21.825052,-46.632896,trace_-46.632896_-21.825052
25487542,BRA,bauxite-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Pocos de Caldas Mine,bauxite-mine,-21.825052,-46.632896,trace_-46.632896_-21.825052
