source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
25486507,BRA,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,7657,,,,N/A,,539216,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Celesta Mine,copper-mine,-6.083688,-49.648972,trace_-49.648972_-6.083688
25486510,BRA,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,,N/A,,798534,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Pedra Branca Mine,copper-mine,-6.577824,-50.03789,trace_-50.03789_-6.577824
25486507,BRA,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,,,N/A,,539216,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Celesta Mine,copper-mine,-6.083688,-49.648972,trace_-49.648972_-6.083688
25486515,BRA,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,352375,,,,N/A,,16164000,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Sossego Mine,copper-mine,-6.4201,-50.065305,trace_-50.065305_-6.4201
25486512,BRA,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,,,N/A,,,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,R22 Mine,copper-mine,-9.870383,-39.871251,trace_-39.871251_-9.870383
25486512,BRA,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,,N/A,,,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,R22 Mine,copper-mine,-9.870383,-39.871251,trace_-39.871251_-9.870383
25486506,BRA,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,0,,,,N/A,,0,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Aripuana Mine,copper-mine,-10.063918,-59.511692,trace_-59.511692_-10.063918
25486507,BRA,copper-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,730,0.015,T of CO2 per T of copper extracted,,N/A,,48670,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Celesta Mine,copper-mine,-6.083688,-49.648972,trace_-49.648972_-6.083688
25486511,BRA,copper-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,,,N/A,,1279334,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Pilar Mine,copper-mine,-9.868689,-39.865331,trace_-39.865331_-9.868689
25486513,BRA,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,760240,,,,N/A,,38203000,T of copper,2023-11-01 00:00:00,2023-11-02 17:00:00,Salobo Mine,copper-mine,-5.796306,-50.532072,trace_-50.532072_-5.796306
