source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25486505,Antas Mine,BRA,copper-mining,-6.24197,-49.752832,trace_-49.752832_-6.24197,owner,North Extracao de Minerio,100001012693.0,100.0,North Extracao de Minerio,100001012693,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273164,,,{7061}
25486506,Aripuana Mine,BRA,copper-mining,-10.063918,-59.511692,trace_-59.511692_-10.063918,owner,Lundin Mining Corporation,100001025206.0,,Lundin Mining,100001012694,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273185,,,{7061}
25486506,Aripuana Mine,BRA,copper-mining,-10.063918,-59.511692,trace_-59.511692_-10.063918,owner,,,,Lundin Mining,100001012694,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273222,,,{7061}
25486507,Celesta Mine,BRA,copper-mining,-6.083688,-49.648972,trace_-49.648972_-6.083688,owner,Serabi Gold,100001012695.0,100.0,Serabi Gold,100001012695,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273244,,,{7061}
25486508,Chapada Mine,BRA,copper-mining,-14.242481,-49.393779,trace_-49.393779_-14.242481,owner,BHP Group,100000000015.0,100.0,BHP Group,100000000015,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273278,,,{7061}
25486509,Palito Mine,BRA,copper-mining,-6.320864,-55.789186,trace_-55.789186_-6.320864,owner,Pilar Gold,100001012696.0,100.0,Pilar Gold,100001012696,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273299,,,{7061}
25486510,Pedra Branca Mine,BRA,copper-mining,-6.577824,-50.03789,trace_-50.03789_-6.577824,owner,Ero Copper,100001012697.0,100.0,Ero Copper,100001012697,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273321,,,{7061}
25486511,Pilar Mine,BRA,copper-mining,-9.868689,-39.865331,trace_-39.865331_-9.868689,owner,Vale,100001000480.0,100.0,Vale,100001000480,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273358,,,"{7061,34387,34388,34389,34390,34391,34392}"
25486512,R22 Mine,BRA,copper-mining,-9.870383,-39.871251,trace_-39.871251_-9.870383,owner,Century Mining,100001012698.0,100.0,Century Mining,100001012698,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.27338,,,{7061}
25486513,Salobo Mine,BRA,copper-mining,-5.796306,-50.532072,trace_-50.532072_-5.796306,owner,Vale,100001000480.0,100.0,Vale,100001000480,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273416,,,"{7061,34387,34388,34389,34390,34391,34392}"
25486514,Santa Rita Mine,BRA,copper-mining,-14.19166,-39.710393,trace_-39.710393_-14.19166,owner,Ero Copper,100001012697.0,100.0,Ero Copper,100001012697,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273438,,,{7061}
25486515,Sossego Mine,BRA,copper-mining,-6.4201,-50.065305,trace_-50.065305_-6.4201,owner,Ero Copper,100001012697.0,100.0,Ero Copper,100001012697,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.27346,,,{7061}
25486516,Surubim Mine,BRA,copper-mining,-9.572161,-39.862077,trace_-39.862077_-9.572161,owner,Cupric Canyon Capital,100001012699.0,100.0,Cupric Canyon Capital,100001012699,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273484,,,{7061}
25486517,Vermelhos Mine,BRA,copper-mining,-9.314359,-39.940043,trace_-39.940043_-9.314359,owner,Max Power,100001012700.0,100.0,Max Power,100001012700,100,copper-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.273612,,,"{7061,34422}"
