iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:22.999062,
BRA,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,11201788.0,tonnes,annual,2023-10-03 21:13:22.999049,2023-11-02 13:53:03.740685
BRA,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,11201788.0,tonnes,annual,2023-10-03 21:13:22.999079,2023-11-02 13:53:03.740685
BRA,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,11201788.0,tonnes,annual,2023-10-03 21:13:22.999087,2023-11-02 13:53:03.740685
BRA,iron-mining,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:22.999071,
BRA,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:22.999603,
BRA,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,10955308.0,tonnes,annual,2023-10-03 21:13:22.99959,2023-11-02 13:53:03.740685
BRA,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,10955308.0,tonnes,annual,2023-10-03 21:13:22.99962,2023-11-02 13:53:03.740685
BRA,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,10955308.0,tonnes,annual,2023-10-03 21:13:22.999628,2023-11-02 13:53:03.740685
BRA,iron-mining,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:22.999612,
BRA,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.000141,
BRA,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,11796304.0,tonnes,annual,2023-10-03 21:13:23.000129,2023-11-02 13:53:03.740685
BRA,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,11796304.0,tonnes,annual,2023-10-03 21:13:23.000159,2023-11-02 13:53:03.740685
BRA,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,11796304.0,tonnes,annual,2023-10-03 21:13:23.000166,2023-11-02 13:53:03.740685
BRA,iron-mining,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.00015,
BRA,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.000782,
BRA,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,11960000.0,tonnes,annual,2023-10-03 21:13:23.000769,2023-11-02 13:53:03.740685
BRA,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,11960000.0,tonnes,annual,2023-10-03 21:13:23.0008,2023-11-02 13:53:03.740685
BRA,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,11960000.0,tonnes,annual,2023-10-03 21:13:23.000808,2023-11-02 13:53:03.740685
BRA,iron-mining,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.000791,
BRA,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.001306,
BRA,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,10527400.0,tonnes,annual,2023-10-03 21:13:23.001293,2023-11-02 13:53:03.740685
BRA,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,10527400.0,tonnes,annual,2023-10-03 21:13:23.001323,2023-11-02 13:53:03.740685
BRA,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,10527400.0,tonnes,annual,2023-10-03 21:13:23.001331,2023-11-02 13:53:03.740685
BRA,iron-mining,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.001315,
BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.001837,
BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,13205751.0,tonnes,annual,2023-10-03 21:13:23.001824,2023-10-30 14:42:59.477565
BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,13205751.0,tonnes,annual,2023-10-03 21:13:23.001854,2023-10-30 14:42:59.477565
BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,13205751.0,tonnes,annual,2023-10-03 21:13:23.001861,2023-10-30 14:42:59.477565
BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.001846,
BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.002488,
BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,13485058.0,tonnes,annual,2023-10-03 21:13:23.002475,2023-10-30 14:42:59.477565
BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,13485058.0,tonnes,annual,2023-10-03 21:13:23.002505,2023-10-30 14:42:59.477565
BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,13485058.0,tonnes,annual,2023-10-03 21:13:23.002513,2023-10-30 14:42:59.477565
BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.002497,
BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:13:23.003035,
BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,12980854.0,tonnes,annual,2023-10-03 21:13:23.003022,2023-10-30 14:42:59.477565
BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,12980854.0,tonnes,annual,2023-10-03 21:13:23.003053,2023-10-30 14:42:59.477565
BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,12980854.0,tonnes,annual,2023-10-03 21:13:23.00306,2023-10-30 14:42:59.477565
BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:13:23.003044,
