source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,capacity,capacity_units,capacity_factor,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
25487072,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487072,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aboboras Mine,iron-mine,-20.169229,-43.875325,trace_-43.875325_-20.169229
25487073,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
25487073,BRA,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,0,,N/A,,2023-11-01 00:00:00,2023-11-02 17:00:00,Aguas Claras Mine,iron-mine,-19.958386,-43.905438,trace_-43.905438_-19.958386
