source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25487072,Aboboras Mine,BRA,iron-mining,-20.169229,-43.875325,trace_-43.875325_-20.169229,owner,Vale,100001000480,100,Vale,100001000480,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.0294,,,"{7061,34387,34388,34389,34390,34391,34392}"
25487073,Aguas Claras Mine,BRA,iron-mining,-19.958386,-43.905438,trace_-43.905438_-19.958386,owner,Minerações Brasileiras Reunidas,100001012879,100,Minerações Brasileiras Reunidas,100001012879,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.02944,,,{7061}
25487074,Alegria Mine,BRA,iron-mining,-20.159894,-43.494686,trace_-43.494686_-20.159894,owner,Minerações Brasileiras Reunidas,100001012879,100,Minerações Brasileiras Reunidas,100001012879,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029479,,,{7061}
25487075,Andrade Mine,BRA,iron-mining,-19.788335,-43.182768,trace_-43.182768_-19.788335,owner,ArcelorMittal,100000000687,100,ArcelorMittal,100000000687,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029521,,,"{6340,7061,34539}"
25487076,Antonio Dias Mine,BRA,iron-mining,-19.547949,-43.018538,trace_-43.018538_-19.547949,owner,Marsil,100001012880,100,Marsil,100001012880,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029559,,,{7061}
25487077,Baratinha Mine,BRA,iron-mining,-19.564705,-42.738902,trace_-42.738902_-19.564705,owner,Brasil Exploracao Mineral,100001012881,100,Brasil Exploracao Mineral,100001012881,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029598,,,{7061}
25487078,Barra Mine,BRA,iron-mining,-20.027693,-43.591602,trace_-43.591602_-20.027693,owner,FLAPA Mineração,100001012882,100,FLAPA Mineração,100001012882,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029636,,,{7061}
25487079,Bau Mine,BRA,iron-mining,-20.01132,-43.57278,trace_-43.57278_-20.01132,owner,Vale,100001000480,100,Vale,100001000480,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029686,,,"{7061,34387,34388,34389,34390,34391,34392}"
25487080,Brucutu Mine,BRA,iron-mining,-19.866016,-43.387616,trace_-43.387616_-19.866016,owner,Vale,100001000480,100,Vale,100001000480,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029737,,,"{7061,34387,34388,34389,34390,34391,34392}"
25487081,Brumado Mine,BRA,iron-mining,-19.820644,-43.693948,trace_-43.693948_-19.820644,owner,RHI Magnesita,100001012883,100,RHI Magnesita,100001012883,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029775,,,{7061}
25487082,Campina Mine,BRA,iron-mining,-20.442239,-43.784064,trace_-43.784064_-20.442239,owner,Gerdau Mineração,100001012884,100,Gerdau Mineração,100001012884,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029814,,,{7061}
25487083,Capanema Mine,BRA,iron-mining,-20.187223,-43.619952,trace_-43.619952_-20.187223,owner,Vale,100001000480,100,Vale,100001000480,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.02987,,,"{7061,34387,34388,34389,34390,34391,34392}"
25487084,Capao Xavier Mine,BRA,iron-mining,-20.050306,-43.978001,trace_-43.978001_-20.050306,owner,Vale,100001000480,100,Vale,100001000480,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.029921,,,"{7061,34387,34388,34389,34390,34391,34392}"
25487085,Capitao do Mato Mine,BRA,iron-mining,-20.119017,-43.919622,trace_-43.919622_-20.119017,owner,Vale,100001000480,100,Vale,100001000480,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.02997,,,"{7061,34387,34388,34389,34390,34391,34392}"
