iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.177735,
BRA,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,995.0,tonnes,annual,2023-10-03 21:10:31.177718,
BRA,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,995.0,tonnes,annual,2023-10-03 21:10:31.177755,
BRA,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,995.0,tonnes,annual,2023-10-03 21:10:31.177762,
BRA,rock-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.177747,
BRA,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.178327,
BRA,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,923.0,tonnes,annual,2023-10-03 21:10:31.178312,
BRA,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,923.0,tonnes,annual,2023-10-03 21:10:31.178345,
BRA,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,923.0,tonnes,annual,2023-10-03 21:10:31.178352,
BRA,rock-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.178337,
BRA,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.178901,
BRA,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,952.0,tonnes,annual,2023-10-03 21:10:31.178886,
BRA,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,952.0,tonnes,annual,2023-10-03 21:10:31.178918,
BRA,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,952.0,tonnes,annual,2023-10-03 21:10:31.178938,
BRA,rock-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.17891,
BRA,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.179566,
BRA,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,969.0,tonnes,annual,2023-10-03 21:10:31.179551,
BRA,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,969.0,tonnes,annual,2023-10-03 21:10:31.179592,
BRA,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,969.0,tonnes,annual,2023-10-03 21:10:31.179604,
BRA,rock-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.179578,
BRA,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.180269,
BRA,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,947.0,tonnes,annual,2023-10-03 21:10:31.180253,
BRA,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,947.0,tonnes,annual,2023-10-03 21:10:31.180287,
BRA,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,947.0,tonnes,annual,2023-10-03 21:10:31.180294,
BRA,rock-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.180278,
BRA,rock-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.18085,
BRA,rock-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,942.0,tonnes,annual,2023-10-03 21:10:31.180835,
BRA,rock-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,942.0,tonnes,annual,2023-10-03 21:10:31.180868,
BRA,rock-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,942.0,tonnes,annual,2023-10-03 21:10:31.180875,
BRA,rock-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.180859,
BRA,rock-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.181531,
BRA,rock-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,937.0,tonnes,annual,2023-10-03 21:10:31.181516,
BRA,rock-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,937.0,tonnes,annual,2023-10-03 21:10:31.181549,
BRA,rock-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,937.0,tonnes,annual,2023-10-03 21:10:31.181556,
BRA,rock-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.18154,
BRA,rock-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.182183,
BRA,rock-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,932.0,tonnes,annual,2023-10-03 21:10:31.182161,
BRA,rock-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,932.0,tonnes,annual,2023-10-03 21:10:31.182202,
BRA,rock-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,932.0,tonnes,annual,2023-10-03 21:10:31.18221,
BRA,rock-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.182193,
