iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,sand-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.107547,
BRA,sand-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,1158.0,tonnes,annual,2023-10-03 21:10:31.107532,
BRA,sand-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1158.0,tonnes,annual,2023-10-03 21:10:31.107565,
BRA,sand-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,1158.0,tonnes,annual,2023-10-03 21:10:31.107572,
BRA,sand-quarrying,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.107557,
BRA,sand-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.108143,
BRA,sand-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1035.0,tonnes,annual,2023-10-03 21:10:31.108127,
BRA,sand-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1035.0,tonnes,annual,2023-10-03 21:10:31.10816,
BRA,sand-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,1035.0,tonnes,annual,2023-10-03 21:10:31.108168,
BRA,sand-quarrying,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.108152,
BRA,sand-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.108707,
BRA,sand-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1028.0,tonnes,annual,2023-10-03 21:10:31.108692,
BRA,sand-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1028.0,tonnes,annual,2023-10-03 21:10:31.108724,
BRA,sand-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,1028.0,tonnes,annual,2023-10-03 21:10:31.108732,
BRA,sand-quarrying,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.108716,
BRA,sand-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.109361,
BRA,sand-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,995.0,tonnes,annual,2023-10-03 21:10:31.109346,
BRA,sand-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,995.0,tonnes,annual,2023-10-03 21:10:31.109379,
BRA,sand-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,995.0,tonnes,annual,2023-10-03 21:10:31.109386,
BRA,sand-quarrying,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.10937,
BRA,sand-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.109927,
BRA,sand-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,930.0,tonnes,annual,2023-10-03 21:10:31.109912,
BRA,sand-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,930.0,tonnes,annual,2023-10-03 21:10:31.109944,
BRA,sand-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,930.0,tonnes,annual,2023-10-03 21:10:31.109952,
BRA,sand-quarrying,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.109936,
BRA,sand-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.110535,
BRA,sand-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,881.0,tonnes,annual,2023-10-03 21:10:31.11052,
BRA,sand-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,881.0,tonnes,annual,2023-10-03 21:10:31.110552,
BRA,sand-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,881.0,tonnes,annual,2023-10-03 21:10:31.11056,
BRA,sand-quarrying,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.110544,
BRA,sand-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.111201,
BRA,sand-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,831.0,tonnes,annual,2023-10-03 21:10:31.111186,
BRA,sand-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,831.0,tonnes,annual,2023-10-03 21:10:31.111218,
BRA,sand-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,831.0,tonnes,annual,2023-10-03 21:10:31.111226,
BRA,sand-quarrying,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.11121,
BRA,sand-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:31.111769,
BRA,sand-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,782.0,tonnes,annual,2023-10-03 21:10:31.111754,
BRA,sand-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,782.0,tonnes,annual,2023-10-03 21:10:31.111787,
BRA,sand-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,782.0,tonnes,annual,2023-10-03 21:10:31.111794,
BRA,sand-quarrying,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:31.111779,
