iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.732324,
BRA,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,86264000.0,tonnes,annual,2023-10-03 21:10:38.732312,2023-10-31 20:30:14.056292
BRA,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,86264000.0,tonnes,annual,2023-10-03 21:10:38.732341,2023-10-31 20:30:14.056292
BRA,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,86264000.0,tonnes,annual,2023-10-03 21:10:38.732348,2023-10-31 20:30:14.056292
BRA,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.732333,
BRA,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.732856,
BRA,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,65137000.0,tonnes,annual,2023-10-03 21:10:38.732844,2023-10-31 20:30:14.056292
BRA,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,65137000.0,tonnes,annual,2023-10-03 21:10:38.732872,2023-10-31 20:30:14.056292
BRA,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,65137000.0,tonnes,annual,2023-10-03 21:10:38.73288,2023-10-31 20:30:14.056292
BRA,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.732864,
BRA,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.733376,
BRA,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,68873000.0,tonnes,annual,2023-10-03 21:10:38.733364,2023-10-31 20:30:14.056292
BRA,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,68873000.0,tonnes,annual,2023-10-03 21:10:38.733392,2023-10-31 20:30:14.056292
BRA,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,68873000.0,tonnes,annual,2023-10-03 21:10:38.7334,2023-10-31 20:30:14.056292
BRA,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.733384,
BRA,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.734084,
BRA,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,59425000.0,tonnes,annual,2023-10-03 21:10:38.734071,2023-10-31 20:30:14.056292
BRA,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,59425000.0,tonnes,annual,2023-10-03 21:10:38.734101,2023-10-31 20:30:14.056292
BRA,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,59425000.0,tonnes,annual,2023-10-03 21:10:38.734108,2023-10-31 20:30:14.056292
BRA,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.734092,
BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.73463,
BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,61319000.0,tonnes,annual,2023-10-03 21:10:38.734618,2023-10-31 20:30:14.056292
BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,61319000.0,tonnes,annual,2023-10-03 21:10:38.734646,2023-10-31 20:30:14.056292
BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,61319000.0,tonnes,annual,2023-10-03 21:10:38.734654,2023-10-31 20:30:14.056292
