source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other4,other1_def,other2_def,other3_def,other4_def,geometry_ref
25450467,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,135000,,,20,MW,0.632,111000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Figueira,coal,-23.8482,-50.3808,a,,,,,,,,trace_-50.3808_-23.8482
25450342,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,71000,0.657,T of CO2 per MWh,125,MW,0.099,108000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,,,field_not_modeled,125,MW,0.099,108000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,n2o,,,field_not_modeled,125,MW,0.099,108000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,71000,,,125,MW,0.099,108000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,71000,,,125,MW,0.099,108000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,72000,0.655,T of CO2 per MWh,125,MW,0.1,110000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,field_not_modeled,125,MW,0.1,110000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,field_not_modeled,125,MW,0.1,110000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
25450342,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,72000,,,125,MW,0.1,110000,MWh,2023-10-31 00:00:00,2023-11-01 10:00:00,Igarapé,oil,-19.9677,-44.282,a,,,,,,,,trace_-44.282_-19.9677
