source_id,source_name,iso3_country,original_inventory_sector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
25450157,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450357,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450472,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450473,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450960,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25451649,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453646,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453758,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453932,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25454023,<unknown plant name>,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450157,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450357,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450472,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450473,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450960,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25451649,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453646,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453758,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453932,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25454023,<unknown plant name>,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450157,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450357,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450472,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450473,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450960,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25451649,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453646,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453758,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453932,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25454023,<unknown plant name>,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450157,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450357,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450472,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450473,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25450960,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25451649,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453758,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25453932,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25454023,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455963,<unknown plant name>,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455151,Alta Mogiana power station,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455151,Alta Mogiana power station,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455151,Alta Mogiana power station,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455151,Alta Mogiana power station,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455824,Amandina power station,BRA,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455824,Amandina power station,BRA,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455824,Amandina power station,BRA,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
25455824,Amandina power station,BRA,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,high,high,low,medium,low,,,medium,,,medium,2023-10-31 00:00:00,2023-11-01 10:00:00,medium
