source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25455151,Alta Mogiana power station,BRA,electricity-generation,-20.4819,-47.8662,trace_-47.8662_-20.4819,owner,Usina Alta Mogiana,100001000228,100.0,Usina Alta Mogiana,100001000228,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.913834,,{10845},{10845}
25455824,Amandina power station,BRA,electricity-generation,-22.3971,-53.8903,trace_-53.8903_-22.3971,owner,Adecoagro,100001000152,66.67,Adecoagro Vale do Ivinhema,100001000150,66.67,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.927235,,{11332},"{5172,5173,11332}"
25450355,Aparecida power station,BRA,electricity-generation,-3.1298,-60.0328,trace_-60.0328_-3.1298,owner,Eletrobras,100000000066,100.0,Eletronorte (Centrais Elétricas do Norte do Brasil,100000002922,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.815696,,{7304},"{1576,7304}"
25455408,Aracruz power station,BRA,electricity-generation,-19.843,-40.0747,trace_-40.0747_-19.843,owner,Suzano,100001000044,100.0,Suzano,100001000044,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.91941,,{11043},"{5089,11043}"
25452654,Araucária power station,BRA,electricity-generation,-25.5887,-49.3547,trace_-49.3547_-25.5887,owner,Companhia Paranaense de Energia,100000000063,81.2,UEG Araucária,100000004254,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.861832,,{8980},"{1147,1342,2847,2848,8980}"
25452654,Araucária power station,BRA,electricity-generation,-25.5887,-49.3547,trace_-49.3547_-25.5887,owner,Petróleo Brasileiro,100000000084,18.8,UEG Araucária,100000004254,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.861851,,{8980},"{1147,1342,2847,2848,8980}"
25451641,Aureliano Chaves power station,BRA,electricity-generation,-19.9898,-44.0966,trace_-44.0966_-19.9898,owner,Petróleo Brasileiro,100000000084,100.0,Ibiritermo,100000003291,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.836348,,{8238},"{1908,1909,8238}"
25455199,Bahia Pulp power station,BRA,electricity-generation,-12.6425,-38.3375,trace_-38.3375_-12.6425,owner,Royal Golden Eagle,100001000056,100.0,Bracell SP Celulose,100001000055,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.914953,,{10878},"{5144,5145,10878}"
25454902,Baixada Fluminense power station,BRA,electricity-generation,-22.7217,-43.6457,trace_-43.6457_-22.7217,owner,Petróleo Brasileiro,100000000084,100.0,Petróleo Brasileiro,100000000084,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.908777,,{10664},"{5423,10664}"
25454718,Barcarena Alunorte power station,BRA,electricity-generation,-1.5699,-48.7545,trace_-48.7545_-1.5699,owner,Hydro,100000120589,,Hydro Alunorte,100000120590,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.903974,,{10530},{10530}
25454602,Barra Bioenergia power station,BRA,electricity-generation,-22.4768,-48.5332,trace_-48.5332_-22.4768,owner,Raizen Energia,100001000060,100.0,Bioenergia Barra,100001000065,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.902155,,{10444},"{5096,10444}"
25453859,Bonfim power station,BRA,electricity-generation,-21.4169,-48.285,trace_-48.285_-21.4169,owner,Raizen Energia,100001000060,100.0,Bioenergia Barra,100001000065,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.884998,,{9847},"{5096,9847}"
25455905,Bracell Star power station,BRA,electricity-generation,-22.5421,-48.8142,trace_-48.8142_-22.5421,owner,Royal Golden Eagle,100001000056,100.0,Bracell SP Celulose,100001000055,100.0,real_property_power-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.928132,,{11378},"{5144,5145,11378}"
