iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,2957.9548299999997,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:29.386223
BRA,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,6384736.0,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:29.386223
BRA,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,6592321.42954,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:29.386223
BRA,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,6757496.0974,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:29.386223
BRA,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,470.80262,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:29.386223
BRA,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,2031.283302,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:22.567416
BRA,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,5410845.439999998,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:22.567416
BRA,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,5564542.923350997,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:22.567416
BRA,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,5677929.423919998,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:22.567416
BRA,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,365.364343,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:22.567416
BRA,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,2570.5819810000003,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:15.681365
BRA,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1768083.6899999976,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:15.681365
BRA,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1944822.7415429975,tonnes,,2023-10-20 11:32:45.78891,2023-11-03 15:13:15.681365
