iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,10298833.43651705,tonnes,annual,2023-10-03 21:10:38.04429,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,72.18960779077602,tonnes,annual,2023-10-03 21:10:38.044305,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,288.7584311631045,tonnes,annual,2023-10-03 21:10:38.044319,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,10379815.738536743,tonnes,annual,2023-10-03 21:10:38.044334,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,10383620.130867315,tonnes,annual,2023-10-03 21:10:38.044348,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-aviation,co2,9458052.86714854,tonnes,annual,2023-10-03 21:10:38.198951,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-aviation,ch4,66.29616171118344,tonnes,annual,2023-10-03 21:10:38.198961,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-aviation,n2o,265.18464684473423,tonnes,annual,2023-10-03 21:10:38.198969,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-aviation,co2e_100yr,9532423.901356148,tonnes,annual,2023-10-03 21:10:38.198978,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-aviation,co2e_20yr,9535917.709078323,tonnes,annual,2023-10-03 21:10:38.198986,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-aviation,co2,9536915.503651172,tonnes,annual,2023-10-03 21:10:38.3552,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-aviation,ch4,66.84894886261799,tonnes,annual,2023-10-03 21:10:38.35521,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-aviation,n2o,267.3957954504725,tonnes,annual,2023-10-03 21:10:38.355217,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-aviation,co2e_100yr,9611906.654485255,tonnes,annual,2023-10-03 21:10:38.355226,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-aviation,co2e_20yr,9615429.594090318,tonnes,annual,2023-10-03 21:10:38.355234,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-aviation,co2,9876204.251237685,tonnes,annual,2023-10-03 21:10:38.509073,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-aviation,ch4,69.22719119142853,tonnes,annual,2023-10-03 21:10:38.509083,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-aviation,n2o,276.9087647657146,tonnes,annual,2023-10-03 21:10:38.509091,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-aviation,co2e_100yr,9953863.314316226,tonnes,annual,2023-10-03 21:10:38.509099,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-aviation,co2e_20yr,9957511.587292016,tonnes,annual,2023-10-03 21:10:38.509107,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-aviation,co2,9743583.126652757,tonnes,annual,2023-10-03 21:10:38.666734,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-aviation,ch4,68.2975842580247,tonnes,annual,2023-10-03 21:10:38.666744,
