source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other1_def,other2_def,other3_def,geometry_ref
3170335,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:56:14.826829,Romeu Zema Airport,domestic,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3170335,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:56:14.826829,Romeu Zema Airport,domestic,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3170335,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:14.826829,Romeu Zema Airport,domestic,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3170335,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:14.826829,Romeu Zema Airport,domestic,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3170335,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:14.826829,Romeu Zema Airport,domestic,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3170335,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:56:14.826829,Romeu Zema Airport,domestic,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3170335,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:56:14.826829,Romeu Zema Airport,domestic,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3170401,BRA,domestic-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,ch4,0.0203591752014751,2.2149999999999864e-05,T of CH4 per T of fuel burned,682,flights,,919.1501219627676,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,n2o,0.0859851891613842,8.859999999999997e-05,T of N2O per T of fuel burned,716,flights,,970.4874623181064,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,3091.9877820927286,8.859999999999997e-05,,716,flights,,970.4874623181064,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,1986.665805785584,8.859999999999981e-05,,464,flights,,623.5581742907373,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,2278.8772460484884,3.16,T of CO2 per T of fuel burned,534,flights,,721.1636854583824,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,2296.796627553479,8.85999999999999e-05,,534,flights,,721.1636854583824,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,2297.638445529333,8.85999999999999e-05,,534,flights,,721.1636854583824,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2,2904.5143854023463,3.160000000000001,T of CO2 per T of fuel burned,682,flights,,919.1501219627676,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,n2o,0.0814367008059011,8.859999999999988e-05,T of N2O per T of fuel burned,682,flights,,919.1501219627676,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_100yr,2927.3533081433616,8.859999999999988e-05,,682,flights,,919.1501219627676,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_20yr,2928.426236676479,8.859999999999988e-05,,682,flights,,919.1501219627676,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3170401,BRA,domestic-aviation,2023-01-01 00:00:00,2023-07-31 00:00:00,other,co2,1490.5386208966138,3.16,T of CO2 per T of fuel burned,348,flights,,471.68943699259927,T of fuel,2023-09-15 00:00:00,,Piloto Osvaldo Marques Dias Airport,domestic,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
