source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
3174489,9 de Maio - Teixeira de Freitas Airport,BRA,domestic-aviation,-17.524499893188,-39.66849899292,trace_-39.66849899292_-17.524499893188,operator,Azul Airlines,100001011882,29.3,Azul Airlines,100001011882,29.3,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.689179,2023-11-30 18:59:41.700541,,{7061}
3174489,9 de Maio - Teixeira de Freitas Airport,BRA,domestic-aviation,-17.524499893188,-39.66849899292,trace_-39.66849899292_-17.524499893188,operator,Passaredo,100001011920,70.7,Passaredo,100001011920,70.7,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.689203,2023-11-30 18:59:41.700541,,{7061}
3174068,Adolino Bedin Regional Airport,BRA,domestic-aviation,-12.479177,-55.672341,trace_-55.672341_-12.479177,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.645428,2023-11-30 18:59:41.700541,,{7061}
3172188,Aeroporto Brigadeiro Firmino Ayres,BRA,domestic-aviation,-7.03899,-37.251598,trace_-37.251598_-7.03899,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.539037,2023-11-30 18:59:41.700541,,{7061}
3171163,Afonso Pena Airport,BRA,domestic-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,Deutsche Lufthansa,100001011791,0.3,Deutsche Lufthansa,100001011791,0.3,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.474884,2023-11-30 18:59:41.700541,,{7061}
3171163,Afonso Pena Airport,BRA,domestic-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,LATAM Airlines Group,100001011858,34.5,LATAM Airlines Group,100001011858,34.5,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.474924,2023-11-30 18:59:41.700541,,{7061}
3171163,Afonso Pena Airport,BRA,domestic-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,Azul Airlines,100001011882,38.6,Azul Airlines,100001011882,38.6,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.474844,2023-11-30 18:59:41.700541,,{7061}
3171163,Afonso Pena Airport,BRA,domestic-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,LATAM Cargo Brasil,100001011895,0.2,LATAM Cargo Brasil,100001011895,0.2,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.474945,2023-11-30 18:59:41.700541,,{7061}
3171163,Afonso Pena Airport,BRA,domestic-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,GOL Linhas Aereas,100001011918,25.0,GOL Linhas Aereas,100001011918,25.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.474904,2023-11-30 18:59:41.700541,,{7061}
3171163,Afonso Pena Airport,BRA,domestic-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,Cargolux Airlines International,100001012032,0.8999999999999999,Cargolux Airlines International,100001012032,0.8999999999999999,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.474865,2023-11-30 18:59:41.700541,,{7061}
3171163,Afonso Pena Airport,BRA,domestic-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,Tampa Cargo,100001012048,0.5,Tampa Cargo,100001012048,0.5,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.474965,2023-11-30 18:59:41.700541,,{7061}
3170465,Alegrete Novo Airport,BRA,domestic-aviation,-29.8127002716,-55.8933982849,trace_-55.8933982849_-29.8127002716,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.421275,2023-11-30 18:59:41.700541,,{7061}
3171644,Almeirim Airport,BRA,domestic-aviation,-1.479524,-52.578214,trace_-52.578214_-1.479524,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.502226,2023-11-30 18:59:41.700541,,{7061}
3170549,Altamira Interstate Airport,BRA,domestic-aviation,-3.253144,-52.253938,trace_-52.253938_-3.253144,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.428162,2023-11-30 18:59:41.700541,,{7061}
3172068,Apuí Airport,BRA,domestic-aviation,-7.172773,-59.8396,trace_-59.8396_-7.172773,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.530589,2023-11-30 18:59:41.700541,,{7061}
3170440,Aracaju - Santa Maria International Airport,BRA,domestic-aviation,-10.984,-37.070301,trace_-37.070301_-10.984,operator,LATAM Airlines Group,100001011858,41.4,LATAM Airlines Group,100001011858,41.4,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.418701,2023-11-30 18:59:41.700541,,{7061}
3170440,Aracaju - Santa Maria International Airport,BRA,domestic-aviation,-10.984,-37.070301,trace_-37.070301_-10.984,operator,Azul Airlines,100001011882,18.8,Azul Airlines,100001011882,18.8,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.418613,2023-11-30 18:59:41.700541,,{7061}
3170440,Aracaju - Santa Maria International Airport,BRA,domestic-aviation,-10.984,-37.070301,trace_-37.070301_-10.984,operator,GOL Linhas Aereas,100001011918,38.9,GOL Linhas Aereas,100001011918,38.9,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.418641,2023-11-30 18:59:41.700541,,{7061}
3170440,Aracaju - Santa Maria International Airport,BRA,domestic-aviation,-10.984,-37.070301,trace_-37.070301_-10.984,operator,ITA,100001011919,0.1,ITA,100001011919,0.1,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.418673,2023-11-30 18:59:41.700541,,"{7061,34449,34450}"
3170440,Aracaju - Santa Maria International Airport,BRA,domestic-aviation,-10.984,-37.070301,trace_-37.070301_-10.984,operator,Passaredo,100001011920,0.8,Passaredo,100001011920,0.8,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.41873,2023-11-30 18:59:41.700541,,{7061}
3170525,Aracati Dragão do Mar Regional Airport,BRA,domestic-aviation,-4.568896,-37.805135,trace_-37.805135_-4.568896,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.426101,2023-11-30 18:59:41.700541,,{7061}
3170565,Araguaína Airport,BRA,domestic-aviation,-7.22787,-48.240501,trace_-48.240501_-7.22787,operator,Passaredo,100001011920,100.0,Passaredo,100001011920,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.429422,2023-11-30 18:59:41.700541,,{7061}
3170508,Arapongas Airport,BRA,domestic-aviation,-23.3529,-51.491699,trace_-51.491699_-23.3529,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.424557,2023-11-30 18:59:41.700541,,{7061}
3172112,Araripina Airport,BRA,domestic-aviation,-7.586417,-40.535431,trace_-40.535431_-7.586417,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.533151,2023-11-30 18:59:41.700541,,{7061}
3170523,Araçatuba Airport,BRA,domestic-aviation,-21.141479,-50.424575,trace_-50.424575_-21.141479,operator,Azul Airlines,100001011882,68.4,Azul Airlines,100001011882,68.4,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.426048,2023-11-30 18:59:41.700541,,{7061}
3170523,Araçatuba Airport,BRA,domestic-aviation,-21.141479,-50.424575,trace_-50.424575_-21.141479,operator,Passaredo,100001011920,31.6,Passaredo,100001011920,31.6,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.426075,2023-11-30 18:59:41.700541,,{7061}
3170429,Aripuanã Airport,BRA,domestic-aviation,-10.187375,-59.457469,trace_-59.457469_-10.187375,operator,Azul Airlines,100001011882,100.0,Azul Airlines,100001011882,100.0,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.417829,2023-11-30 18:59:41.700541,,{7061}
3170868,Atlas Brasil Cantanhede Airport,BRA,domestic-aviation,2.845855,-60.690944,trace_-60.690944_2.845855,operator,LATAM Airlines Group,100001011858,38.1,LATAM Airlines Group,100001011858,38.1,percent_emissions_domestic-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.451747,2023-11-30 18:59:41.700541,,{7061}
