iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.275583,
BRA,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,3890388.3481225953,tonnes,annual,2023-10-10 21:31:23.275557,
BRA,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,3890388.3481225953,tonnes,annual,2023-10-10 21:31:23.275623,
BRA,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,3890388.3481225953,tonnes,annual,2023-10-10 21:31:23.275641,
BRA,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.275604,
BRA,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.276812,
BRA,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,4195419.01259283,tonnes,annual,2023-10-10 21:31:23.276786,
BRA,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,4195419.01259283,tonnes,annual,2023-10-10 21:31:23.27685,
BRA,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,4195419.01259283,tonnes,annual,2023-10-10 21:31:23.276866,
BRA,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.276832,
BRA,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.278028,
BRA,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,4550222.682834883,tonnes,annual,2023-10-10 21:31:23.278003,
BRA,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4550222.682834883,tonnes,annual,2023-10-10 21:31:23.278066,
BRA,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,4550222.682834883,tonnes,annual,2023-10-10 21:31:23.278083,
BRA,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.278048,
BRA,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.279225,
BRA,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,4904641.552811943,tonnes,annual,2023-10-10 21:31:23.2792,
BRA,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,4904641.552811943,tonnes,annual,2023-10-10 21:31:23.279264,
BRA,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,4904641.552811943,tonnes,annual,2023-10-10 21:31:23.279279,
BRA,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.279245,
BRA,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.280438,
BRA,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,5521771.458517526,tonnes,annual,2023-10-10 21:31:23.280413,
BRA,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,5521771.458517526,tonnes,annual,2023-10-10 21:31:23.280474,
BRA,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,5521771.458517526,tonnes,annual,2023-10-10 21:31:23.280491,
BRA,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 21:31:23.280457,
BRA,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 21:31:23.281648,
