iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,3799141.538529198,tonnes,annual,2023-10-03 21:10:37.391648,
BRA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,26.630058569120703,tonnes,annual,2023-10-03 21:10:37.391658,
BRA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,106.52023427648312,tonnes,annual,2023-10-03 21:10:37.391666,
BRA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,3829015.138232038,tonnes,annual,2023-10-03 21:10:37.391675,
BRA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,3830418.542318631,tonnes,annual,2023-10-03 21:10:37.391683,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,international-aviation,co2,8016710.816654905,tonnes,annual,2023-10-03 21:10:36.139086,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,international-aviation,ch4,56.19308373066648,tonnes,annual,2023-10-03 21:10:36.139095,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,international-aviation,n2o,224.77233492266595,tonnes,annual,2023-10-03 21:10:36.139103,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,international-aviation,co2e_100yr,8079748.217983966,tonnes,annual,2023-10-03 21:10:36.139111,
BRA,2015-01-01 00:00:00,2015-12-31 00:00:00,international-aviation,co2e_20yr,8082709.593496572,tonnes,annual,2023-10-03 21:10:36.139119,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,international-aviation,co2,7143292.552091593,tonnes,annual,2023-10-03 21:10:36.280448,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,international-aviation,ch4,50.07086393317365,tonnes,annual,2023-10-03 21:10:36.280458,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,international-aviation,n2o,200.28345573269465,tonnes,annual,2023-10-03 21:10:36.280466,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,international-aviation,co2e_100yr,7199462.047251828,tonnes,annual,2023-10-03 21:10:36.280474,
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,international-aviation,co2e_20yr,7202100.781781107,tonnes,annual,2023-10-03 21:10:36.280482,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,international-aviation,co2,6923246.9160186285,tonnes,annual,2023-10-03 21:10:36.422405,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,international-aviation,ch4,48.52845543981409,tonnes,annual,2023-10-03 21:10:36.422414,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,international-aviation,n2o,194.11382175925644,tonnes,annual,2023-10-03 21:10:36.422422,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,international-aviation,co2e_100yr,6977686.137331012,tonnes,annual,2023-10-03 21:10:36.422431,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,international-aviation,co2e_20yr,6980243.58693269,tonnes,annual,2023-10-03 21:10:36.422438,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,international-aviation,co2,7740748.359679519,tonnes,annual,2023-10-03 21:10:36.575438,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,international-aviation,ch4,54.258726635095336,tonnes,annual,2023-10-03 21:10:36.575453,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,international-aviation,n2o,217.03490654038143,tonnes,annual,2023-10-03 21:10:36.575468,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,international-aviation,co2e_100yr,7801615.799218768,tonnes,annual,2023-10-03 21:10:36.575484,
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,international-aviation,co2e_20yr,7804475.234112438,tonnes,annual,2023-10-03 21:10:36.575499,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,international-aviation,co2,7513295.027371529,tonnes,annual,2023-10-03 21:10:36.727624,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,international-aviation,ch4,52.66439394186053,tonnes,annual,2023-10-03 21:10:36.727635,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,international-aviation,n2o,210.65757576744215,tonnes,annual,2023-10-03 21:10:36.727643,
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,international-aviation,co2e_100yr,7572373.9444955075,tonnes,annual,2023-10-03 21:10:36.727652,
