source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
3166257,Afonso Pena Airport,BRA,international-aviation,-25.5285,-49.1758,trace_-49.1758_-25.5285,operator,Aerolineas Argentinas,100001011866.0,11.9,Aerolineas Argentinas,100001011866,11.9,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.51297,2023-11-30 18:59:41.700541,,{7061}
3165962,Atlas Brasil Cantanhede Airport,BRA,international-aviation,2.845855,-60.690944,trace_-60.690944_2.845855,operator,Trans Guyana Airways,100001012364.0,100.0,Trans Guyana Airways,100001012364,100.0,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.491316,2023-11-30 18:59:41.700541,,{7061}
3169219,Deputado Luiz Eduardo Magalhães International Airport,BRA,international-aviation,-12.908611,-38.322498,trace_-38.322498_-12.908611,operator,Air Europa,100001011811.0,2.2,Air Europa,100001011811,2.2,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.73223,2023-11-30 18:59:41.700541,,{7061}
3169219,Deputado Luiz Eduardo Magalhães International Airport,BRA,international-aviation,-12.908611,-38.322498,trace_-38.322498_-12.908611,operator,Aerolineas Argentinas,100001011866.0,13.6,Aerolineas Argentinas,100001011866,13.6,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.732211,2023-11-30 18:59:41.700541,,{7061}
3169219,Deputado Luiz Eduardo Magalhães International Airport,BRA,international-aviation,-12.908611,-38.322498,trace_-38.322498_-12.908611,operator,TAP Air Portugal,100001012289.0,83.8,TAP Air Portugal,100001012289,83.8,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.732249,2023-11-30 18:59:41.700541,,{7061}
3167878,Eduardo Gomes International Airport,BRA,international-aviation,-3.03861,-60.049702,trace_-60.049702_-3.03861,operator,Tampa Cargo,100001012048.0,22.5,Tampa Cargo,100001012048,22.5,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.658243,2023-11-30 18:59:41.700541,,{7061}
3167878,Eduardo Gomes International Airport,BRA,international-aviation,-3.03861,-60.049702,trace_-60.049702_-3.03861,operator,Copa Airlines,100001012247.0,10.0,Copa Airlines,100001012247,10.0,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.658221,2023-11-30 18:59:41.700541,,{7061}
3167878,Eduardo Gomes International Airport,BRA,international-aviation,-3.03861,-60.049702,trace_-60.049702_-3.03861,operator,Atlas Air,100001014202.0,46.400000000000006,Atlas Air,100001014202,46.400000000000006,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.658203,2023-11-30 18:59:41.700541,,{7061}
3166820,Guarulhos - Governador André Franco Montoro International Airport,BRA,international-aviation,-23.431944,-46.467778,trace_-46.467778_-23.431944,operator,American Airlines,100001011767.0,7.399999999999999,American Airlines,100001011767,7.399999999999999,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.550351,2023-11-30 18:59:41.700541,,{7061}
3166820,Guarulhos - Governador André Franco Montoro International Airport,BRA,international-aviation,-23.431944,-46.467778,trace_-46.467778_-23.431944,operator,Delta Air Lines,100001011768.0,2.7,Delta Air Lines,100001011768,2.7,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.550448,2023-11-30 18:59:41.700541,,{7061}
3166820,Guarulhos - Governador André Franco Montoro International Airport,BRA,international-aviation,-23.431944,-46.467778,trace_-46.467778_-23.431944,operator,United Airlines,100001011769.0,6.1,United Airlines,100001011769,6.1,percent_emissions_international-flights,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.550728,2023-11-30 18:59:41.700541,,{7061}
