iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,other-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,32.3829,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,other-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,1816680.712,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,other-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1818445.58005,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,other-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,1820255.78416,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,other-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,3.23829,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,40.266902,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,other-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,2258973.2210000004,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,other-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2261167.7671060003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,other-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2263418.6869280003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,other-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,4.02669,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,28.576300999999997,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,other-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1603130.4740000002,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,other-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1604687.882378,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,other-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,1606285.2976040002,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,other-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,2.85763,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,53.205031,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,other-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,2984802.253,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,other-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2987701.927163,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,other-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2990676.088396,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,other-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,5.3205029999999995,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,53.519448999999994,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,other-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,3002441.101,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,other-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,3005357.9109969996,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,other-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,3008349.6481959997,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,other-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,5.351945000000001,tonnes,,2023-10-06 14:56:33.428328,
BRA,other-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,47.091956999999994,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,2641858.789,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2644425.300736,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,2647057.741132,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,4.7091959999999995,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,other-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,39.964117,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,2241986.974,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2244165.018456,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,2246399.012596,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,3.996412,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,other-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,31.478585,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,other-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,1765948.644,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,other-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1767664.227015,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,other-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,1769423.8799160002,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,other-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,3.147859,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
