iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2,3035971.267,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,n2o,1171.778384,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,ch4,170.030779,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_20yr,3359603.345812,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_100yr,3351253.400572,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,railways,co2,2896595.34,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,railways,n2o,1117.984166,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,railways,ch4,162.224975,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,railways,co2e_20yr,3205370.057724,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,railways,co2e_100yr,3197403.44329,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,railways,co2,2917370.2589999996,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,railways,n2o,1126.002556,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,railways,ch4,163.388483,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,railways,co2e_20yr,3228359.5663559996,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,railways,co2e_100yr,3220335.8138639997,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,railways,n2o,1248.871173,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,railways,ch4,181.217321,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,railways,co2e_20yr,3580635.919636,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,railways,co2e_100yr,3571736.6208329997,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,railways,co2e_100yr,3260676.823434,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,railways,co2,3022225.5220000003,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,railways,n2o,1166.473009,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,railways,ch4,169.260944,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,railways,co2e_20yr,3344392.3156720004,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,railways,co2e_100yr,3336080.175817,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,railways,co2,3235711.675,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,railways,co2,2953916.032,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,railways,n2o,1140.107942,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,railways,ch4,165.435243,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,railways,co2e_20yr,3268801.0891,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,railways,co2,2748050.312,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,railways,n2o,1060.650998,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
