iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,road-transportation,co2,191448399.20000002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,road-transportation,ch4,19285.99179,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
BRA,2016-01-01 00:00:00,2016-12-31 00:00:00,road-transportation,co2,180199143.1,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.801331
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,road-transportation,n2o,9696.83674,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,road-transportation,co2e_20yr,195628387.40972003,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,road-transportation,co2e_100yr,194558068.70622,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.136466
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,road-transportation,co2,183772914,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,road-transportation,n2o,9351.587382,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,road-transportation,ch4,18924.36756,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,road-transportation,co2e_20yr,187831379.943888,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,road-transportation,co2e_100yr,186780966.94791,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:51.777571
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,road-transportation,co2,167637606.39999998,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,road-transportation,n2o,8527.397761,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,road-transportation,ch4,17164.15466,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,road-transportation,co2e_20yr,171330628.40034398,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
BRA,2020-01-01 00:00:00,2020-12-31 00:00:00,road-transportation,co2e_100yr,170377963.13714498,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.236966
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,road-transportation,co2,173373088.3,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,road-transportation,n2o,8778.285306000002,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,road-transportation,ch4,18411.80251,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,road-transportation,co2e_20yr,177237147.03162402,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
BRA,2019-01-01 00:00:00,2019-12-31 00:00:00,road-transportation,co2e_100yr,176214864.37637,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:52.638413
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,road-transportation,co2,171262420.4,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,road-transportation,n2o,8633.643366999999,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,road-transportation,ch4,18351.43192,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,road-transportation,co2e_20yr,175083222.53016803,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
BRA,2018-01-01 00:00:00,2018-12-31 00:00:00,road-transportation,co2e_100yr,174064175.98601502,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-20 21:19:53.017067
