iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,26159.45702,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,278688.9989,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1058842.3050600002,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,2523591.94154,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:29.386223
BRA,incineration-and-open-burning-of-waste,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,179.95664,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,26403.062599999997,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,281830.8457,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1069342.7324149995,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,2547732.252604,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:22.567416
BRA,incineration-and-open-burning-of-waste,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,181.98541100000003,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,26643.11872,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,284910.3626,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1079670.77927,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,2571501.453656,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:15.681365
BRA,incineration-and-open-burning-of-waste,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,183.973934,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,26879.83059,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,287928.1616,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1089832.90818,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,2594917.498616,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:09.186295
BRA,incineration-and-open-burning-of-waste,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,185.922604,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,27051.34937,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,290883.36500000005,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1098096.323935,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,2612784.0578000005,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:13:02.39531
BRA,incineration-and-open-burning-of-waste,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,187.830855,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,27220.27846,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,293776.3321,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1106214.34225,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,2630360.237092,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:55.327329
BRA,incineration-and-open-burning-of-waste,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,189.698918,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,27432.44275,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,incineration-and-open-burning-of-waste,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,296793.79870000004,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1115688.74981,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,incineration-and-open-burning-of-waste,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,2651713.896436,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,incineration-and-open-burning-of-waste,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,191.647374,tonnes,,2023-10-06 14:56:33.428328,
BRA,incineration-and-open-burning-of-waste,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,27646.40942,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,incineration-and-open-burning-of-waste,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,299842.2587,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,incineration-and-open-burning-of-waste,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1125249.920855,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,incineration-and-open-burning-of-waste,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,2673255.232532,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,incineration-and-open-burning-of-waste,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,193.615843,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
