iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,2070990.01,tonnes,annual,2023-10-10 22:40:39.287916,
BRA,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.287906,2023-11-17 17:09:40.459039
BRA,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,57987720.28,tonnes,annual,2023-10-10 22:40:39.287933,
BRA,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,173963160.84,tonnes,annual,2023-10-10 22:40:39.287941,
BRA,solid-waste-disposal,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:39.287925,2023-11-17 17:09:40.459039
BRA,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,2075827.879,tonnes,annual,2023-10-10 22:40:39.288434,
BRA,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.288425,2023-11-17 17:09:40.459039
BRA,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,58123180.61,tonnes,annual,2023-10-10 22:40:39.288451,
BRA,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,174369541.84,tonnes,annual,2023-10-10 22:40:39.288459,
BRA,solid-waste-disposal,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:39.288443,2023-11-17 17:09:40.459039
BRA,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,2097385.6059999997,tonnes,annual,2023-10-10 22:40:39.288962,
BRA,solid-waste-disposal,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:39.288951,2023-11-17 17:09:40.459039
