iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,12853.10081,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,3543780.989,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_20yr,301070821.68983996,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2022-01-01 00:00:00,2022-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,102631939.40665,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 16:28:29.468027
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,wastewater-treatment-and-discharge,co2,0,tonnes,,2023-10-06 14:56:33.428328,
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,wastewater-treatment-and-discharge,n2o,12743.208859999999,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,wastewater-treatment-and-discharge,ch4,3560568.766,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_20yr,302451983.48304,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
BRA,2021-01-01 00:00:00,2021-12-31 00:00:00,wastewater-treatment-and-discharge,co2e_100yr,103072875.7959,tonnes,annual,2023-10-06 14:56:33.428328,2023-11-03 15:12:48.433022
