"","lon","lat"
"1",-73.5,-8
"2",-73.5,-7.5
"3",-73.5,-7
"4",-73,-8.5
"5",-73,-8
"6",-73,-7.5
"7",-73,-7
"8",-73,-6.5
"9",-73,-6
"10",-72.5,-9
"11",-72.5,-8.5
"12",-72.5,-8
"13",-72.5,-7.5
"14",-72.5,-7
"15",-72.5,-6.5
"16",-72.5,-6
"17",-72.5,-5.5
"18",-72.5,-5
"19",-72,-10
"20",-72,-9.5
"21",-72,-9
"22",-72,-8.5
"23",-72,-8
"24",-72,-7.5
"25",-72,-7
"26",-72,-6.5
"27",-72,-6
"28",-72,-5.5
"29",-72,-5
"30",-71.5,-10
"31",-71.5,-9.5
"32",-71.5,-9
"33",-71.5,-8.5
"34",-71.5,-8
"35",-71.5,-7.5
"36",-71.5,-7
"37",-71.5,-6.5
"38",-71.5,-6
"39",-71.5,-5.5
"40",-71.5,-5
"41",-71.5,-4.5
"42",-71,-9.5
"43",-71,-9
"44",-71,-8.5
"45",-71,-8
"46",-71,-7.5
"47",-71,-7
"48",-71,-6.5
"49",-71,-6
"50",-71,-5.5
"51",-71,-5
"52",-71,-4.5
"53",-70.5,-10.5
"54",-70.5,-10
"55",-70.5,-9.5
"56",-70.5,-9
"57",-70.5,-8.5
"58",-70.5,-8
"59",-70.5,-7.5
"60",-70.5,-7
"61",-70.5,-6.5
"62",-70.5,-6
"63",-70.5,-5.5
"64",-70.5,-5
"65",-70.5,-4.5
"66",-70,-10.5
"67",-70,-10
"68",-70,-9.5
"69",-70,-9
"70",-70,-8.5
"71",-70,-8
"72",-70,-7.5
"73",-70,-7
"74",-70,-6.5
"75",-70,-6
"76",-70,-5.5
"77",-70,-5
"78",-70,-4.5
"79",-70,0
"80",-70,0.5
"81",-69.5,-10.5
"82",-69.5,-10
"83",-69.5,-9.5
"84",-69.5,-9
"85",-69.5,-8.5
"86",-69.5,-8
"87",-69.5,-7.5
"88",-69.5,-7
"89",-69.5,-6.5
"90",-69.5,-6
"91",-69.5,-5.5
"92",-69.5,-5
"93",-69.5,-4.5
"94",-69.5,-4
"95",-69.5,-3.5
"96",-69.5,-3
"97",-69.5,-2.5
"98",-69.5,-2
"99",-69.5,-0.5
"100",-69.5,0
"101",-69.5,0.5
"102",-69.5,1.5
"103",-69,-11
"104",-69,-10.5
"105",-69,-10
"106",-69,-9.5
"107",-69,-9
